index,at-flux,gal_num,ned_name,u-r,re,type_m
2,at_flux__yx,K0003,NGC7819,2.3,19.00799942,4
8,at_flux__yx,K0012,NGC0023,2.15,11.088000297,4
10,at_flux__yx,K0014,UGC00139,1.7,13.463999748,5
18,at_flux__yx,K0027,ESO540-G003,2.22,10.295999527,5
21,at_flux__yx,K0030,NGC0169,3.73,16.236000061,4
22,at_flux__yx,K0031,NGC0171,2.59,22.572000503,4
23,at_flux__yx,K0033,NGC0177,3.05,9.1079998016,4
24,at_flux__yx,K0034,NGC0180,2.87,24.552000045,4
29,at_flux__yx,K0039,NGC0237,1.84,11.880000114,4
30,at_flux__yx,K0040,NGC0234,2.23,19.403999328,4
35,at_flux__yx,K0045,NGC0429,2.57,4.3559999465,4
42,at_flux__yx,K0053,IC1683,2.54,9.8999996185,4
46,at_flux__yx,K0058,NGC0517,2.65,7.5240001678,5
54,at_flux__yx,K0069,UGC01062,2.63,9.1079998016,4
56,at_flux__yx,K0071,UGC01123,2.46,5.9400000572,4
63,at_flux__yx,K0081,NGC0693,2.72,15.444000244,4
65,at_flux__yx,K0084,UGC01368,2.54,9.8999996185,4
69,at_flux__yx,K0089,IC1755,2.85,7.9200000762,4
75,at_flux__yx,K0095,NGC0810,2.81,14.652000427,4
90,at_flux__yx,K0117,NGC0955,2.81,11.880000114,4
95,at_flux__yx,K0125,UGC02099,2.5,13.067999839,4
99,at_flux__yx,K0129,NGC1056,2.49,11.484000206,4
109,at_flux__yx,K0141,UGC02319,2.25,8.3159999847,4
111,at_flux__yx,K0143,NGC1132,2.71,21.384000778,4
112,at_flux__yx,K0144,UGC02367,2.76,14.255999565,4
115,at_flux__yx,K0150,UGC02405,2.4,11.484000206,5
120,at_flux__yx,K0157,NGC1211,2.83,11.484000206,4
121,at_flux__yx,K0159,MCG-01-09-006,2.38,9.50399971,4
122,at_flux__yx,K0161,IC0307,2.49,9.50399971,5
126,at_flux__yx,K0166,NGC1349,2.75,15.444000244,4
132,at_flux__yx,K0172,UGC03107,2.55,12.671999931,5
135,at_flux__yx,K0175,NGC1656,2.54,11.880000114,4
137,at_flux__yx,K0179,NGC1665,2.75,18.215999603,5
139,at_flux__yx,K0182,NGC1667,2.18,14.255999565,5
