,Pop,Raio_medio,std_R,tm,tm_std,tp,tp_std,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
K0001,1,0.934765290994,0.327330185457,9.32644463345,0.237653976596,9.01743923815,0.0999494120655,1.24704170609,1.00167471561,0.216936177597,0.503203023434,0.10399943236,0.360756022264,0.0341757294744,49.4084636776,16.3517064142,32.8800850459,-0.0306091823192,0.669050498698,3.00891410723,0.534069981584,0.360770051657
K0001,2,0.736634217045,0.280445521612,9.32644463345,0.237653976596,9.23006251152,0.0541539733854,0.791254204055,0.206088554053,0.0172699241589,0.679774007591,0.0205369304106,0.139377402839,-0.000889178081398,36.7399345432,19.1210963115,27.9305154273,0.278527868129,0.479555515022,1.70252591127,0.383763837638,0.385224974135
K0001,3,0.776836976742,0.259915649214,9.32644463345,0.237653976596,9.45023526947,0.0541649858927,0.854658841791,0.389190673968,0.118559478347,0.252586886059,0.0299973290295,0.111362514465,-0.00243283871862,40.0338006321,15.8175591022,27.9256798672,0.192992046032,0.604894892505,2.27538970771,0.649446494465,0.283029675139
K0001,4,0.483561001098,0.227157218416,9.32644463345,0.237653976596,9.60913320095,0.0998255056471,0.364157564037,0.0221476632869,0.0157704438248,0.154656087166,0.00126123864813,0.00731135720481,0.000672867413516,23.55934441,15.2641494865,19.4117469483,-0.775203929994,0.352097867376,1.0083666121,0.432532347505,0.467950544225
K0002,1,0.629231817073,0.170407855876,9.08170631246,0.239620462259,8.7869843021,0.0977782673743,0.54108928,0.00590342322258,0.0487813202473,0.196662678099,-0.000398580821218,-0.00425191737515,0.00375921238678,27.7921530636,24.0898200095,25.9409865365,0.450371880422,0.133215049789,0.915381422411,0.5568,0.247798010012
K0002,2,0.702138657171,0.267120746674,9.08170631246,0.239620462259,8.97271147722,0.0512695552504,0.71848704,0.156684251988,0.0129711963364,0.131781127712,0.00200436427122,0.0228431583895,0.000877505750319,37.3215865242,20.0827483009,28.7021674125,-0.543129529185,0.461899930543,0.769135711506,0.9696,0.384409997505
K0002,3,0.733603609589,0.296974210783,9.08170631246,0.239620462259,9.16598940512,0.0463224420288,0.799981449467,0.346308818572,0.307975654831,0.857710971687,0.101620095165,0.205154696268,-0.0488543669248,41.5935461406,16.2336284151,28.9135872778,0.526478389044,0.609707997482,1.46468917643,0.459069020867,0.419106103803
K0002,4,0.739243611461,0.342572305373,9.08170631246,0.239620462259,9.40132297962,0.0853303782251,0.846428644806,0.323804615184,0.643266170331,2.17869119887,0.154400032557,0.227677732638,0.242972121025,42.0297844174,18.605996863,30.3178906402,-0.687658527508,0.5573140067,0.876926903672,0.762820512821,0.587142551559
K0003,1,0.71347938715,0.155447223688,8.87010036453,0.256780855145,8.57649419687,0.0713417841453,0.678782051282,0.0397321550587,0.0369926028187,0.0563482705871,0.00107626077023,0.00895930058993,-0.00152042181393,37.0115340153,27.3486078226,32.180070919,0.116248381076,0.261078781244,1.34170193744,0.489743589744,0.180409784089
K0003,2,0.825723747663,0.253668739664,8.87010036453,0.256780855145,8.7616282559,0.0550166288411,0.949817554241,0.348182970089,0.00256898201288,0.254766798848,0.00269513404125,0.0703704276396,0.00052999005232,49.0124990931,23.6897805368,36.3511398149,0.0301799852845,0.516658383573,0.484231946652,0.530769230769,0.229552990513
