index,at-flux,gal_num,ned_name,u-r,re
0,at_flux__yx,K0001,IC5376,2.61,9.50399971
1,at_flux__yx,K0002,UGC00005,2.76,12.671999931
2,at_flux__yx,K0003,NGC7819,2.3,19.00799942
3,at_flux__yx,K0005,UGC00029,2.7,14.652000427
4,at_flux__yx,K0007,IC1528,2.18,17.027999877
5,at_flux__yx,K0008,NGC7824,3.17,9.8999996185
6,at_flux__yx,K0009,UGC00036,2.74,7.9200000762
7,at_flux__yx,K0010,NGC0001,2.24,9.8999996185
8,at_flux__yx,K0012,NGC0023,2.15,11.088000297
9,at_flux__yx,K0013,NGC0036,2.48,17.819999694
10,at_flux__yx,K0014,UGC00139,1.7,13.463999748
11,at_flux__yx,K0017,UGC00148,1.76,13.463999748
12,at_flux__yx,K0018,MCG-02-02-030,2.4,13.067999839
13,at_flux__yx,K0019,UGC00312,1.7,9.8999996185
14,at_flux__yx,K0020,ESO539-G014,2.49,11.088000297
15,at_flux__yx,K0023,MCG-02-02-040,2.16,12.671999931
16,at_flux__yx,K0025,UGC00335NED02,3.49,11.880000114
17,at_flux__yx,K0026,NGC0155,2.63,13.859999656
18,at_flux__yx,K0027,ESO540-G003,2.22,10.295999527
19,at_flux__yx,K0028,NGC0160,2.94,15.840000152
20,at_flux__yx,K0029,NGC0165,2.93,17.819999694
21,at_flux__yx,K0030,NGC0169,3.73,16.236000061
22,at_flux__yx,K0031,NGC0171,2.59,22.572000503
23,at_flux__yx,K0033,NGC0177,3.05,9.1079998016
24,at_flux__yx,K0034,NGC0180,2.87,24.552000045
25,at_flux__yx,K0035,NGC0192,2.65,13.067999839
26,at_flux__yx,K0036,NGC0216,1.58,13.463999748
27,at_flux__yx,K0037,NGC0214,2.36,15.840000152
28,at_flux__yx,K0038,NGC0217,2.93,14.652000427
29,at_flux__yx,K0039,NGC0237,1.84,11.880000114
30,at_flux__yx,K0040,NGC0234,2.23,19.403999328
31,at_flux__yx,K0041,MCG-02-03-015,2.55,8.3159999847
32,at_flux__yx,K0042,NGC0257,2.4,17.027999877
33,at_flux__yx,K0043,NGC0309,4.39,20.591999054
34,at_flux__yx,K0044,NGC0364,2.99,9.50399971
35,at_flux__yx,K0045,NGC0429,2.57,4.3559999465
36,at_flux__yx,K0046,IC1652,2.45,6.3359999656
37,at_flux__yx,K0047,NGC0447,2.71,20.591999054
38,at_flux__yx,K0049,NGC0444,1.94,13.463999748
39,at_flux__yx,K0050,UGC00809,2.08,11.880000114
40,at_flux__yx,K0051,UGC00841,2.15,9.8999996185
41,at_flux__yx,K0052,NGC0477,2.39,17.027999877
42,at_flux__yx,K0053,IC1683,2.54,9.8999996185
43,at_flux__yx,K0054,NGC0499,2.83,13.463999748
44,at_flux__yx,K0055,NGC0496,2.32,13.859999656
45,at_flux__yx,K0057,NGC0504,2.69,5.1479997634
46,at_flux__yx,K0058,NGC0517,2.65,7.5240001678
47,at_flux__yx,K0059,NGC0523,2.73,8.3159999847
48,at_flux__yx,K0061,UGC00987,2.43,7.9200000762
49,at_flux__yx,K0064,NGC0528,2.88,7.9200000762
50,at_flux__yx,K0065,NGC0529,2.75,11.088000297
51,at_flux__yx,K0066,NGC0551,3.11,14.652000427
52,at_flux__yx,K0067,UGC01057,1.98,8.3159999847
53,at_flux__yx,K0068,NGC0570,2.64,13.463999748
54,at_flux__yx,K0069,UGC01062,2.63,9.1079998016
55,at_flux__yx,K0070,2MASXJ01331766+1319567,2.24,17.423999786
56,at_flux__yx,K0071,UGC01123,2.46,5.9400000572
57,at_flux__yx,K0072,IC0159,1.71,12.671999931
58,at_flux__yx,K0073,UGC01271,2.74,7.9200000762
59,at_flux__yx,K0076,UGCA021,1.88,28.115999221
60,at_flux__yx,K0077,NGC0681,3.07,22.968000412
61,at_flux__yx,K0078,UGC01274,2.79,5.1479997634
62,at_flux__yx,K0080,NGC0677,2.79,13.859999656
63,at_flux__yx,K0081,NGC0693,2.72,15.444000244
64,at_flux__yx,K0083,NGC0716,2.25,9.50399971
65,at_flux__yx,K0084,UGC01368,2.54,9.8999996185
66,at_flux__yx,K0086,NGC0731,2.64,10.295999527
67,at_flux__yx,K0087,NGC0741,2.93,21.780000686
68,at_flux__yx,K0088,NGC0755,1.72,19.403999328
69,at_flux__yx,K0089,IC1755,2.85,7.9200000762
70,at_flux__yx,K0090,NGC0768,2.09,11.484000206
71,at_flux__yx,K0091,NGC0774,2.65,10.692000389
72,at_flux__yx,K0092,NGC0776,2.67,17.027999877
