#at_flux k gal_number
at_flux__yx K 0781
at_flux__yx K 0782
at_flux__yx K 0783
at_flux__yx K 0787
at_flux__yx K 0788
at_flux__yx K 0789
at_flux__yx K 0790
at_flux__yx K 0791
at_flux__yx K 0794
at_flux__yx K 0797
at_flux__yx K 0798
at_flux__yx K 0799
at_flux__yx K 0803
at_flux__yx K 0804
at_flux__yx K 0805
at_flux__yx K 0806
at_flux__yx K 0807
at_flux__yx K 0808
at_flux__yx K 0809
at_flux__yx K 0810
at_flux__yx K 0811
at_flux__yx K 0813
at_flux__yx K 0814
at_flux__yx K 0815
at_flux__yx K 0816
at_flux__yx K 0817
at_flux__yx K 0818
at_flux__yx K 0820
at_flux__yx K 0821
at_flux__yx K 0822
at_flux__yx K 0823
at_flux__yx K 0824
at_flux__yx K 0826
at_flux__yx K 0827
at_flux__yx K 0828
at_flux__yx K 0829
at_flux__yx K 0830
at_flux__yx K 0831
at_flux__yx K 0832
at_flux__yx K 0833
at_flux__yx K 0834
at_flux__yx K 0835
at_flux__yx K 0836
at_flux__yx K 0837
at_flux__yx K 0838
at_flux__yx K 0840
at_flux__yx K 0841
at_flux__yx K 0842
at_flux__yx K 0843
at_flux__yx K 0844
at_flux__yx K 0845
at_flux__yx K 0846
at_flux__yx K 0847
at_flux__yx K 0848
at_flux__yx K 0849
at_flux__yx K 0850
at_flux__yx K 0851
at_flux__yx K 0852
at_flux__yx K 0854
at_flux__yx K 0855
at_flux__yx K 0856
at_flux__yx K 0857
at_flux__yx K 0858
at_flux__yx K 0859
at_flux__yx K 0860
at_flux__yx K 0861
at_flux__yx K 0862
at_flux__yx K 0863
at_flux__yx K 0864
at_flux__yx K 0865
at_flux__yx K 0866
at_flux__yx K 0867
at_flux__yx K 0868
at_flux__yx K 0869
at_flux__yx K 0870
at_flux__yx K 0871
at_flux__yx K 0872
at_flux__yx K 0874
at_flux__yx K 0875
at_flux__yx K 0876
at_flux__yx K 0878
at_flux__yx K 0880
at_flux__yx K 0881
at_flux__yx K 0883
at_flux__yx K 0884
at_flux__yx K 0885
at_flux__yx K 0886
at_flux__yx K 0887
at_flux__yx K 0888
at_flux__yx K 0889
at_flux__yx K 0890
at_flux__yx K 0891
at_flux__yx K 0893
at_flux__yx K 0894
at_flux__yx K 0895
at_flux__yx K 0896
at_flux__yx K 0897
at_flux__yx K 0898
at_flux__yx K 0900
at_flux__yx K 0901
at_flux__yx K 0902
at_flux__yx K 0903
at_flux__yx K 0904
at_flux__yx K 0905
at_flux__yx K 0906
at_flux__yx K 0907
at_flux__yx K 0909
at_flux__yx K 0910
at_flux__yx K 0911
at_flux__yx K 0912
at_flux__yx K 0914
at_flux__yx K 0915
at_flux__yx K 0916
at_flux__yx K 0917
at_flux__yx K 0919
at_flux__yx K 0923
at_flux__yx K 0924
at_flux__yx K 0925
at_flux__yx K 0926
at_flux__yx K 0927
at_flux__yx K 0929
at_flux__yx K 0930
at_flux__yx K 0932
at_flux__yx K 0933
at_flux__yx K 0934
at_flux__yx K 0935
at_flux__yx K 0936
at_flux__yx K 0937
at_flux__yx K 1000
at_flux__yx K 1005
at_flux__yx K 1007
at_flux__yx K 1009
at_flux__yx K 1010
at_flux__yx K 1011
at_flux__yx K 1013
at_flux__yx K 1015
at_flux__yx K 1016
at_flux__yx K 1022
at_flux__yx K 1024
at_flux__yx K 1075
at_flux__yx K 1076
at_flux__yx K 1080
at_flux__yx K 2014
at_flux__yx K 2044
at_flux__yx K 2052
at_flux__yx K 2063
at_flux__yx K 2707
at_flux__yx K 2752
at_flux__yx K 2780
at_flux__yx K 2781
at_flux__yx K 2795
at_flux__yx K 2835
at_flux__yx K 2851
at_flux__yx K 2871
at_flux__yx K 2873
at_flux__yx K 2902
at_flux__yx K 2999
at_flux__yx K 3004
at_flux__yx K 3006
at_flux__yx K 3008
at_flux__yx K 3018
at_flux__yx K 3019
at_flux__yx K 3021
at_flux__yx K 3022
at_flux__yx K 3027
at_flux__yx K 3028
at_flux__yx K 3030
at_flux__yx K 3034
at_flux__yx K 3038
at_flux__yx K 3039
at_flux__yx K 3040
at_flux__yx K 4027
at_flux__yx K 4031
at_flux__yx K 4034
