x,y,age,mass,raio
25.0,25.0,8.33153884986,188.781794595,11.7046999107
47.0,37.0,8.36784931154,230.642300585,13.6014705087
48.0,13.0,8.3966106656,70.5849261263,20.0
40.0,9.0,8.4255175542,109.289139767,20.3960780544
40.0,10.0,8.4255175542,115.683365308,19.4164878389
46.0,37.0,8.432286717,222.295368658,12.8062484749
25.0,24.0,8.46522454681,172.208824114,12.0830459736
46.0,36.0,8.46747968837,334.517336042,12.2065556157
52.0,21.0,8.47344440854,290.219499854,17.88854382
39.0,9.0,8.48477201541,210.494199794,20.2237484162
24.0,35.0,8.48909753626,305.873783546,13.416407865
48.0,36.0,8.49621638184,344.535571959,13.8924439894
39.0,10.0,8.50249704088,242.202820319,19.2353840617
23.0,30.0,8.5225079306,182.999766224,13.0384048104
43.0,39.0,8.5343880571,455.206032021,12.2065556157
48.0,37.0,8.54202314697,209.545868052,14.4222051019
38.0,13.0,8.55005196837,210.514954912,16.1245154966
24.0,34.0,8.55469522848,294.780031463,13.0
49.0,13.0,8.55639190265,94.6858909509,20.6155281281
36.0,14.0,8.56328557089,151.120046104,15.0
36.0,13.0,8.56329161416,164.455571905,16.0
47.0,36.0,8.56663425981,370.440443934,13.0384048104
37.0,13.0,8.56769893079,157.177897401,16.0312195419
38.0,12.0,8.57046348389,198.052367316,17.1172427686
35.0,14.0,8.57502708968,81.9606126807,15.0332963784
35.0,15.0,8.57502708968,82.7611385891,14.0356688476
34.0,13.0,8.57502708968,68.9660633233,16.1245154966
35.0,13.0,8.57502708968,76.5174574683,16.0312195419
34.0,14.0,8.57502708968,76.9441017031,15.1327459504
29.0,48.0,8.57843393685,99.8558535037,20.2484567313
32.0,21.0,8.58289555003,145.600678894,8.94427191
31.0,21.0,8.587529941,122.149951274,9.43398113206
39.0,13.0,8.60466856194,139.366471703,16.2788205961
24.0,36.0,8.61093976046,592.171759343,13.8924439894
26.0,25.0,8.61190218826,234.24566461,10.7703296143
38.0,11.0,8.61599986052,223.264617238,18.1107702763
44.0,40.0,8.61815223331,232.770474109,13.6014705087
54.0,29.0,8.62286533676,110.684920725,18.0
37.0,12.0,8.62390937097,139.328117483,17.0293863659
24.0,37.0,8.62959622528,711.464157565,14.4222051019
47.0,7.0,8.63213348626,90.2613901911,24.5967477525
53.0,21.0,8.63254196947,385.373640188,18.7882942281
48.0,33.0,8.63883849175,220.74571872,12.6491106407
49.0,12.0,8.63931094537,97.3936659941,21.400934559
