,at-flux,gal_num,ned_name,u-r,re,type_m
330,at_flux__yx,K0861,UGC05657,2.69,9.1079998016,4.0
331,at_flux__yx,K0862,NGC3251,2.52,13.067999839,4.0
332,at_flux__yx,K0863,UGC05680,2.75,5.1479997634,4.0
333,at_flux__yx,K0864,UGC05695,1.85,13.067999839,4.0
334,at_flux__yx,K0865,UGC05693,2.2,12.671999931,4.0
335,at_flux__yx,K0866,UGC05713,2.5,8.3159999847,4.0
336,at_flux__yx,K0867,UGC05727,1.93,11.088000297,4.0
337,at_flux__yx,K0868,UGC05760,2.23,13.859999656,4.0
338,at_flux__yx,K0869,NGC3300,2.83,11.484000206,4.0
339,at_flux__yx,K0870,NGC3303,2.7,17.423999786,4.0
340,at_flux__yx,K0871,UGC05771,2.72,10.295999527,4.0
341,at_flux__yx,K0872,NGC3304,2.69,7.5240001678,4.0
342,at_flux__yx,K0874,NGC3320,1.97,16.236000061,4.0
343,at_flux__yx,K0875,NGC3332,3.04,16.631999969,4.0
344,at_flux__yx,K0876,NGC3334,2.84,12.276000022,4.0
345,at_flux__yx,K0878,UGC05820,2.75,10.295999527,4.0
346,at_flux__yx,K0880,NGC3352,2.74,12.276000022,4.0
347,at_flux__yx,K0881,UGC05855,2.35,9.8999996185,4.0
348,at_flux__yx,K0883,UGC05859,2.96,7.1279997825,4.0
349,at_flux__yx,K0884,NGC3363,2.19,13.067999839,4.0
350,at_flux__yx,K0885,UGC05894,2.31,11.484000206,4.0
351,at_flux__yx,K0886,IC0642,2.7,16.236000061,4.0
352,at_flux__yx,K0887,NGC3381,1.84,21.780000686,4.0
353,at_flux__yx,K0888,UGC05924,2.58,9.8999996185,4.0
354,at_flux__yx,K0889,NGC3395,0.93,19.00799942,4.0
355,at_flux__yx,K0890,UGC05957,2.45,8.3159999847,4.0
356,at_flux__yx,K0891,NGC3419A,1.57,10.295999527,4.0
357,at_flux__yx,K0893,NGC3426,2.48,9.8999996185,4.0
358,at_flux__yx,K0894,NGC3415,2.23,9.1079998016,4.0
359,at_flux__yx,K0895,NGC3406NED01,2.64,11.880000114,4.0
360,at_flux__yx,K0896,UGC05990,1.86,8.7119998931,4.0
361,at_flux__yx,K0897,NGC3440,1.51,10.295999527,4.0
362,at_flux__yx,K0898,NGC3462,2.8,11.880000114,4.0
363,at_flux__yx,K0900,UGC06036,2.75,6.7319998741,4.0
364,at_flux__yx,K0901,NGC3468,2.95,11.088000297,4.0
365,at_flux__yx,K0902,UGC06062,2.58,6.3359999656,4.0
366,at_flux__yx,K0903,UGC06063,2.33,9.50399971,4.0
