x,y,age,mass
32.0,21.0,8.04315874723,50.5130076875
36.0,24.0,8.04315874723,58.1903065618
35.0,24.0,8.04315874723,66.0133547272
34.0,24.0,8.04315874723,73.1346995486
33.0,24.0,8.04315874723,81.4109332448
32.0,24.0,8.04315874723,91.8835249574
31.0,24.0,8.04315874723,107.236243081
42.0,25.0,8.04315874723,19.975316266
38.0,26.0,8.04315874723,61.092824201
33.0,19.0,8.04315874723,25.3447757545
34.0,19.0,8.04315874723,20.2154501665
35.0,19.0,8.04315874723,17.9389026288
36.0,19.0,8.04315874723,16.5839354553
37.0,19.0,8.04315874723,15.6252745839
38.0,19.0,8.04315874723,11.1360544682
39.0,19.0,8.04315874723,9.25275198838
40.0,19.0,8.04315874723,14.5346718369
35.0,26.0,8.04315874723,105.622937051
43.0,23.0,8.04315874723,13.1472635027
35.0,15.0,8.04315874723,6.60688252158
34.0,15.0,8.04315874723,5.18709470188
42.0,23.0,8.04315874723,11.9215568017
37.0,24.0,8.04315874723,48.3592780102
38.0,24.0,8.04315874723,37.0547366567
34.0,16.0,8.04315874723,7.48298622883
35.0,16.0,8.04315874723,7.63588886534
38.0,25.0,8.04315874723,43.4789401418
37.0,25.0,8.04315874723,61.7523965234
36.0,25.0,8.04315874723,72.299950049
33.0,18.0,8.04315874723,17.8249679566
34.0,18.0,8.04315874723,15.2185481082
35.0,18.0,8.04315874723,12.3987359473
36.0,18.0,8.04315874723,10.8659111724
37.0,18.0,8.04315874723,9.74250798206
38.0,18.0,8.04315874723,10.8183321739
39.0,18.0,8.04315874723,12.9074702843
34.0,17.0,8.04315874723,9.36120148271
35.0,25.0,8.04315874723,81.4567256201
37.0,17.0,8.04315874723,7.56231327615
39.0,25.0,8.04315874723,33.9881472942
40.0,25.0,8.04315874723,27.6220007406
33.0,21.0,8.04315874723,42.1830401984
41.0,25.0,8.04315874723,22.5108174542
42.0,24.0,8.04315874723,14.4883655015
41.0,24.0,8.04315874723,18.303050693
40.0,24.0,8.04315874723,20.4485472192
39.0,24.0,8.04315874723,24.3111795024
36.0,16.0,8.04315874723,8.80955294685
36.0,17.0,8.04315874723,21.6885518003
40.0,23.0,8.04315874723,14.1020985531
41.0,23.0,8.04315874723,13.3002150878
38.0,23.0,8.04315874723,29.1971112146
40.0,20.0,8.04315874723,8.23302384791
39.0,23.0,8.04315874723,18.7821985504
42.0,20.0,8.04315874723,17.9091653876
36.0,22.0,8.04315874723,30.1323658541
35.0,22.0,8.04315874723,38.9498220386
34.0,22.0,8.04315874723,44.5649720704
33.0,22.0,8.04315874723,53.5730496881
32.0,22.0,8.04315874723,62.8993948871
44.0,21.0,8.04315874723,10.8703870305
43.0,21.0,8.04315874723,14.616625465
42.0,21.0,8.04315874723,9.0239291257
41.0,21.0,8.04315874723,10.3466587646
40.0,21.0,8.04315874723,9.95525613115
39.0,21.0,8.04315874723,14.4247372427
38.0,21.0,8.04315874723,19.4837589646
37.0,21.0,8.04315874723,23.5012978393
36.0,21.0,8.04315874723,26.4819021687
35.0,21.0,8.04315874723,30.461370796
34.0,21.0,8.04315874723,33.9194078246
39.0,20.0,8.04315874723,11.2557875891
38.0,20.0,8.04315874723,14.2608887247
41.0,20.0,8.04315874723,21.7234971703
36.0,20.0,8.04315874723,25.5243269768
37.0,23.0,8.04315874723,34.3208488328
36.0,23.0,8.04315874723,38.1299803184
35.0,23.0,8.04315874723,50.2780858318
34.0,23.0,8.04315874723,59.009459086
33.0,23.0,8.04315874723,67.8013327849
32.0,23.0,8.04315874723,75.8179510458
37.0,20.0,8.04315874723,19.3818989281
44.0,22.0,8.04315874723,11.3853730801
43.0,22.0,8.04315874723,15.083553799
42.0,22.0,8.04315874723,10.5306065483
35.0,17.0,8.04315874723,8.92855967086
40.0,22.0,8.04315874723,11.5449180389
39.0,22.0,8.04315874723,17.2441166981
38.0,22.0,8.04315874723,24.1316537334
37.0,22.0,8.04315874723,28.7379598309
35.0,20.0,8.04315874723,26.5561317109
34.0,20.0,8.04315874723,28.7095363696
33.0,20.0,8.04315874723,35.3907786367
41.0,22.0,8.04315874723,12.0113813614
29.0,26.0,8.13337325224,281.187569978
29.0,25.0,8.1501350711,226.131924764
24.0,34.0,8.15268725139,60.1464581911
24.0,33.0,8.15268725139,67.4880933349
23.0,33.0,8.15268725139,56.099806184
22.0,33.0,8.15268725139,45.7532529406
23.0,34.0,8.15268725139,46.709958677
25.0,33.0,8.15865463471,120.563545402
43.0,25.0,8.1592380046,18.2843540936
45.0,23.0,8.1592380046,11.4998515204
47.0,24.0,8.1592380046,22.5790475401
46.0,24.0,8.1592380046,16.0464535449
45.0,24.0,8.1592380046,15.9252266869
48.0,33.0,8.1592380046,56.1672027578
43.0,24.0,8.1592380046,13.1528955887
47.0,23.0,8.1592380046,9.21182015183
46.0,23.0,8.1592380046,8.04775954308
44.0,25.0,8.1592380046,14.8518751711
44.0,23.0,8.1592380046,12.6265163246
45.0,22.0,8.1592380046,10.6022493861
48.0,24.0,8.1592380046,18.3146261043
45.0,25.0,8.1592380046,19.2089110678
44.0,24.0,8.1592380046,10.5905004733
47.0,25.0,8.1592380046,12.7959727475
45.0,31.0,8.1592380046,54.9647006029
44.0,31.0,8.1592380046,69.2524151074
43.0,31.0,8.1592380046,88.7137231773
42.0,31.0,8.1592380046,113.135766511
46.0,34.0,8.1592380046,91.5738194565
54.0,30.0,8.1592380046,11.072009502
53.0,30.0,8.1592380046,11.8626652702
52.0,30.0,8.1592380046,12.2712592666
51.0,30.0,8.1592380046,12.1928193867
46.0,31.0,8.1592380046,44.2822345015
50.0,30.0,8.1592380046,13.4025605007
48.0,30.0,8.1592380046,16.9171491675
47.0,30.0,8.1592380046,24.94483191
46.0,30.0,8.1592380046,34.1026806863
45.0,30.0,8.1592380046,42.5121527114
44.0,30.0,8.1592380046,52.340726007
43.0,30.0,8.1592380046,66.858803932
42.0,30.0,8.1592380046,93.4844275397
41.0,30.0,8.1592380046,122.185584106
47.0,34.0,8.1592380046,81.9413808214
49.0,30.0,8.1592380046,14.0285957587
47.0,31.0,8.1592380046,34.484439121
48.0,31.0,8.1592380046,23.7252688447
49.0,31.0,8.1592380046,18.054025634
47.0,33.0,8.1592380046,61.7874853418
46.0,33.0,8.1592380046,75.2888432383
50.0,33.0,8.1592380046,28.9159089249
51.0,33.0,8.1592380046,24.7293967861
52.0,33.0,8.1592380046,21.7344646115
54.0,32.0,8.1592380046,11.0153235167
53.0,32.0,8.1592380046,11.765932623
52.0,32.0,8.1592380046,14.6763417243
51.0,32.0,8.1592380046,14.5191144123
50.0,32.0,8.1592380046,19.193505658
49.0,32.0,8.1592380046,24.2531678789
48.0,32.0,8.1592380046,31.6162278042
47.0,32.0,8.1592380046,43.3431152917
46.0,32.0,8.1592380046,56.5548901468
45.0,32.0,8.1592380046,75.9748004195
44.0,32.0,8.1592380046,98.6412810122
54.0,31.0,8.1592380046,11.222163405
53.0,31.0,8.1592380046,10.8792084643
52.0,31.0,8.1592380046,14.9265022583
51.0,31.0,8.1592380046,12.6388873355
50.0,31.0,8.1592380046,16.5734785571
48.0,34.0,8.1592380046,74.0647188061
49.0,34.0,8.1592380046,56.5413787942
50.0,34.0,8.1592380046,39.0043423427
51.0,34.0,8.1592380046,33.103650864
50.0,27.0,8.1592380046,5.81166564938
49.0,27.0,8.1592380046,9.5184414818
48.0,27.0,8.1592380046,10.4331765047
47.0,27.0,8.1592380046,13.2198302536
46.0,27.0,8.1592380046,17.6805590979
45.0,27.0,8.1592380046,20.3446358818
44.0,27.0,8.1592380046,24.5947727125
43.0,27.0,8.1592380046,27.9086468432
42.0,27.0,8.1592380046,32.6720999074
44.0,35.0,8.1592380046,143.68955368
45.0,35.0,8.1592380046,125.951043835
50.0,26.0,8.1592380046,10.4458868418
49.0,26.0,8.1592380046,8.48083181226
48.0,26.0,8.1592380046,9.11645920512
47.0,26.0,8.1592380046,11.7308205867
46.0,26.0,8.1592380046,14.6642781635
45.0,26.0,8.1592380046,19.7544201039
43.0,26.0,8.1592380046,21.2755845278
42.0,26.0,8.1592380046,26.3680688472
49.0,25.0,8.1592380046,10.3955771045
48.0,25.0,8.1592380046,15.2126683876
51.0,27.0,8.1592380046,10.6263158403
46.0,25.0,8.1592380046,15.2029975907
42.0,28.0,8.1592380046,48.0947844821
44.0,28.0,8.1592380046,31.716635457
53.0,29.0,8.1592380046,26.4580067442
52.0,29.0,8.1592380046,18.2300639571
51.0,29.0,8.1592380046,11.4132534159
50.0,29.0,8.1592380046,14.7640267009
49.0,29.0,8.1592380046,11.2370197233
48.0,29.0,8.1592380046,13.0177676671
47.0,29.0,8.1592380046,17.868556099
46.0,29.0,8.1592380046,23.1628469679
45.0,29.0,8.1592380046,30.8378011468
44.0,29.0,8.1592380046,41.8046472877
43.0,29.0,8.1592380046,53.4067737833
42.0,29.0,8.1592380046,72.44000025
53.0,28.0,8.1592380046,18.3926773014
52.0,28.0,8.1592380046,10.1164453103
51.0,28.0,8.1592380046,12.6342313687
50.0,28.0,8.1592380046,8.97082245371
49.0,28.0,8.1592380046,10.286782953
48.0,28.0,8.1592380046,10.9456906943
47.0,28.0,8.1592380046,13.0679334478
46.0,28.0,8.1592380046,19.8110526195
45.0,28.0,8.1592380046,25.5460727049
43.0,28.0,8.1592380046,35.189595996
44.0,26.0,8.1592380046,18.4075480154
49.0,33.0,8.1592380046,39.2757539515
20.0,25.0,8.16000152956,93.7546164524
30.0,26.0,8.16926232236,227.78773978
22.0,29.0,8.18642582646,74.3733121428
22.0,30.0,8.18642582646,73.1523807767
23.0,25.0,8.1910341708,147.958985169
49.0,46.0,8.201772985,62.6625750995
49.0,45.0,8.201772985,60.4891725279
48.0,46.0,8.201772985,62.1520966397
28.0,26.0,8.21348933979,278.314889695
23.0,32.0,8.21833960575,88.9487642673
22.0,32.0,8.21833960575,77.958033107
24.0,32.0,8.21833960575,100.441327695
22.0,31.0,8.21833960575,87.6203217309
24.0,31.0,8.21833960575,118.265910366
23.0,31.0,8.21833960575,104.104026837
30.0,25.0,8.21911947685,233.126034901
29.0,24.0,8.23525597155,180.84026257
19.0,25.0,8.24089519068,77.6373335264
19.0,24.0,8.24089519068,77.6594721069
18.0,24.0,8.24089519068,62.9008229379
27.0,18.0,8.24618209556,32.9970424771
32.0,17.0,8.24618209556,12.2797961384
31.0,17.0,8.24618209556,14.1788131419
23.0,18.0,8.24618209556,43.90022957
30.0,17.0,8.24618209556,17.2934097898
29.0,17.0,8.24618209556,20.1982248375
24.0,18.0,8.24618209556,42.0731578737
25.0,18.0,8.24618209556,42.599196758
26.0,18.0,8.24618209556,38.8008756846
33.0,17.0,8.24618209556,11.0758602752
28.0,24.0,8.24618209556,125.949568291
31.0,18.0,8.24618209556,22.5218064777
29.0,18.0,8.24618209556,27.8952864946
30.0,18.0,8.24618209556,25.4953322433
25.0,24.0,8.24618209556,133.392668838
32.0,18.0,8.24618209556,21.1959507614
28.0,17.0,8.24618209556,20.0603440957
24.0,24.0,8.24618209556,129.206952663
23.0,19.0,8.24618209556,61.8820429667
24.0,19.0,8.24618209556,63.1947843813
25.0,19.0,8.24618209556,63.3270349187
26.0,19.0,8.24618209556,58.3046518536
27.0,19.0,8.24618209556,46.5777695652
28.0,19.0,8.24618209556,39.4993210573
29.0,19.0,8.24618209556,36.2472557468
30.0,19.0,8.24618209556,34.4074938662
28.0,18.0,8.24618209556,28.3355851449
27.0,17.0,8.24618209556,22.7078069465
28.0,21.0,8.24618209556,68.3130031555
25.0,17.0,8.24618209556,25.7463578685
26.0,15.0,8.24618209556,16.2877478705
25.0,15.0,8.24618209556,18.8011266634
24.0,15.0,8.24618209556,18.7096506587
23.0,15.0,8.24618209556,17.5319008021
33.0,14.0,8.24618209556,7.59698014432
32.0,14.0,8.24618209556,10.1287561856
31.0,14.0,8.24618209556,7.45154631666
27.0,15.0,8.24618209556,11.5180665276
30.0,14.0,8.24618209556,7.34029190404
28.0,14.0,8.24618209556,5.8157047897
27.0,14.0,8.24618209556,9.56455970241
26.0,14.0,8.24618209556,12.9716158347
25.0,14.0,8.24618209556,14.4782826012
24.0,14.0,8.24618209556,9.69356916825
23.0,14.0,8.24618209556,13.9412750046
23.0,13.0,8.24618209556,9.73979055329
29.0,14.0,8.24618209556,8.73454904737
28.0,15.0,8.24618209556,9.32748920549
29.0,15.0,8.24618209556,9.16988422798
30.0,15.0,8.24618209556,10.7808542345
24.0,17.0,8.24618209556,26.944198665
23.0,17.0,8.24618209556,27.6814776316
31.0,19.0,8.24618209556,32.388484058
33.0,16.0,8.24618209556,7.9915083815
32.0,16.0,8.24618209556,9.05386219904
31.0,16.0,8.24618209556,11.6419458402
30.0,16.0,8.24618209556,12.6690442069
29.0,16.0,8.24618209556,14.4270023664
28.0,16.0,8.24618209556,15.2599614706
27.0,16.0,8.24618209556,16.5446111287
26.0,16.0,8.24618209556,18.6525189007
25.0,16.0,8.24618209556,21.3088085785
24.0,16.0,8.24618209556,21.0179437012
23.0,16.0,8.24618209556,21.2052665272
33.0,15.0,8.24618209556,11.6805247784
32.0,15.0,8.24618209556,8.04148385346
31.0,15.0,8.24618209556,9.83969519619
27.0,21.0,8.24618209556,78.205405584
32.0,19.0,8.24618209556,29.9615270502
26.0,17.0,8.24618209556,24.4951245846
