x,y,age,mass
43.0,39.0,7.98642036253,662.109767281
47.0,36.0,8.02442851797,91.8121973753
47.0,37.0,8.02442851797,78.1208568643
46.0,37.0,8.02442851797,126.985821115
45.0,37.0,8.02442851797,194.491778064
46.0,36.0,8.02442851797,143.417614878
42.0,40.0,8.12858412283,394.667745164
32.0,52.0,8.28094227135,219.889063271
50.0,7.0,8.33316381084,204.343683178
44.0,34.0,8.36330848022,348.220957911
39.0,43.0,8.36900227348,250.631694667
52.0,7.0,8.38158502167,389.57624415
32.0,51.0,8.40850685498,315.278162515
51.0,7.0,8.41202739382,359.700283271
40.0,42.0,8.41275787994,371.455587957
40.0,40.0,8.41510176801,511.44164888
30.0,52.0,8.42987079797,295.945866136
33.0,53.0,8.4422928311,182.114099005
32.0,53.0,8.4422928311,264.87875673
30.0,53.0,8.44663750663,203.385906145
25.0,57.0,8.45180986018,168.667870496
42.0,37.0,8.4966449323,230.334053469
45.0,36.0,8.50017449082,656.263165361
26.0,33.0,8.50058129207,267.858028957
41.0,40.0,8.50733514441,347.18841783
26.0,56.0,8.51170272115,185.911121275
44.0,35.0,8.52791787698,266.012125071
33.0,50.0,8.53798300429,529.497394294
40.0,39.0,8.53828747614,504.219801714
39.0,39.0,8.5460697432,1167.07149391
28.0,54.0,8.55087101194,499.602449418
31.0,51.0,8.56555272338,363.285931709
26.0,34.0,8.57640240441,631.580818439
42.0,39.0,8.57948742754,441.381093424
31.0,52.0,8.57977471986,172.618623583
42.0,38.0,8.58219497388,208.385380878
52.0,5.0,8.58575482822,198.397541065
41.0,41.0,8.59321872841,275.740219217
24.0,57.0,8.59636556863,242.732239659
26.0,55.0,8.62236624168,387.884490785
43.0,37.0,8.62386307825,220.622369745
45.0,35.0,8.63075714036,441.739040017
50.0,21.0,8.63315638775,217.866197571
32.0,28.0,8.63347885167,659.631495567
26.0,35.0,8.63408271337,343.353683197
42.0,41.0,8.63420341125,394.872395734
43.0,41.0,8.63420341125,262.583581156
43.0,42.0,8.63420341125,207.749336599
42.0,42.0,8.63420341125,296.033344647
50.0,11.0,8.63607072321,212.873960654
50.0,10.0,8.63607072321,235.511133046
50.0,9.0,8.63607072321,266.272936211
51.0,11.0,8.63694865206,148.093110182
45.0,34.0,8.64270502348,300.105693486
39.0,40.0,8.64609031646,692.82504687
41.0,39.0,8.64724785061,263.333358186
