x,y,age,mass
48.0,40.0,8.36104506706,120.237698284
42.0,45.0,8.39174342,78.1660989282
37.0,49.0,8.4329879621,32.6995822793
42.0,46.0,8.4329879621,54.617089518
42.0,48.0,8.4329879621,35.7927070438
41.0,48.0,8.4329879621,38.1415717893
40.0,48.0,8.4329879621,37.6902254417
35.0,48.0,8.4329879621,46.3989899336
39.0,48.0,8.4329879621,37.0719533532
36.0,47.0,8.4329879621,53.2790467077
37.0,47.0,8.4329879621,50.6636435136
38.0,47.0,8.4329879621,49.6770954024
35.0,49.0,8.4329879621,33.7174913689
36.0,51.0,8.4329879621,17.3719680957
36.0,49.0,8.4329879621,32.2964977041
41.0,46.0,8.4329879621,57.894678704
36.0,53.0,8.4329879621,10.7689855657
37.0,53.0,8.4329879621,9.05826446209
38.0,53.0,8.4329879621,8.55982277861
41.0,50.0,8.4329879621,19.1194978143
42.0,50.0,8.4329879621,23.3111912514
43.0,50.0,8.4329879621,21.835964428
40.0,53.0,8.4329879621,7.77024614577
39.0,53.0,8.4329879621,9.37558956185
40.0,50.0,8.4329879621,17.5566991922
37.0,51.0,8.4329879621,16.9430917825
41.0,45.0,8.4329879621,62.2350381124
39.0,50.0,8.4329879621,17.4219547219
38.0,50.0,8.4329879621,20.5369265679
37.0,50.0,8.4329879621,22.7782658255
36.0,50.0,8.4329879621,25.602535269
40.0,46.0,8.4329879621,56.4997551858
35.0,50.0,8.4329879621,25.1259913354
39.0,46.0,8.4329879621,57.3875780837
38.0,51.0,8.4329879621,14.7819544937
35.0,51.0,8.4329879621,16.8064219188
39.0,52.0,8.4329879621,10.4571358367
38.0,52.0,8.4329879621,11.6482161955
37.0,52.0,8.4329879621,11.470406915
43.0,49.0,8.4329879621,25.2403053017
41.0,52.0,8.4329879621,10.1460989332
42.0,52.0,8.4329879621,9.663779886
43.0,52.0,8.4329879621,10.0005594594
44.0,52.0,8.4329879621,7.66634743772
36.0,52.0,8.4329879621,11.9971444145
42.0,47.0,8.4329879621,45.9603543826
41.0,47.0,8.4329879621,52.0406635398
40.0,52.0,8.4329879621,10.9405685186
39.0,47.0,8.4329879621,47.6555966033
40.0,47.0,8.4329879621,49.8185014139
42.0,51.0,8.4329879621,14.5254782256
41.0,49.0,8.4329879621,27.6834343213
36.0,48.0,8.4329879621,42.1399301281
42.0,49.0,8.4329879621,28.7408326428
43.0,51.0,8.4329879621,14.8746987204
38.0,48.0,8.4329879621,41.5758591972
37.0,48.0,8.4329879621,41.9462131513
39.0,49.0,8.4329879621,25.866861382
39.0,51.0,8.4329879621,13.5752661814
40.0,51.0,8.4329879621,14.8630332898
41.0,51.0,8.4329879621,14.1487923406
38.0,49.0,8.4329879621,31.5509000433
40.0,49.0,8.4329879621,26.5360193248
52.0,40.0,8.46003761334,90.9586712855
47.0,40.0,8.55175394896,236.870733536
47.0,41.0,8.55175394896,210.495944361
46.0,41.0,8.55175394896,223.207399786
47.0,38.0,8.5822127894,277.231949232
58.0,12.0,8.59431074917,35.1471082752
59.0,11.0,8.59431074917,26.8727364399
60.0,11.0,8.59431074917,23.50634184
54.0,15.0,8.59431074917,57.1598603806
61.0,11.0,8.59431074917,21.0093295339
58.0,15.0,8.59431074917,54.6021560754
57.0,15.0,8.59431074917,56.2028644502
56.0,15.0,8.59431074917,56.6386722614
57.0,12.0,8.59431074917,38.6950019478
52.0,12.0,8.59431074917,29.7640427882
54.0,12.0,8.59431074917,32.4441497237
55.0,15.0,8.59431074917,57.081349079
61.0,12.0,8.59431074917,22.211396651
55.0,12.0,8.59431074917,35.569748237
56.0,12.0,8.59431074917,38.7171233938
60.0,12.0,8.59431074917,26.065188726
59.0,12.0,8.59431074917,30.0740945957
59.0,15.0,8.59431074917,50.4824424042
56.0,16.0,8.59431074917,59.2221082975
60.0,14.0,8.59431074917,39.3337474336
58.0,16.0,8.59431074917,58.5058476062
59.0,14.0,8.59431074917,42.3434134339
58.0,14.0,8.59431074917,47.457212966
57.0,14.0,8.59431074917,49.7674302134
56.0,14.0,8.59431074917,49.2833230104
55.0,14.0,8.59431074917,49.6783269399
54.0,14.0,8.59431074917,48.4786306217
53.0,14.0,8.59431074917,44.190928276
52.0,14.0,8.59431074917,42.1732342494
58.0,11.0,8.59431074917,32.0568824408
60.0,13.0,8.59431074917,31.2138335921
59.0,13.0,8.59431074917,34.886969445
58.0,13.0,8.59431074917,39.5847771679
57.0,13.0,8.59431074917,40.9179233178
56.0,13.0,8.59431074917,41.1553457486
55.0,13.0,8.59431074917,40.1683001686
54.0,13.0,8.59431074917,38.0996429819
53.0,13.0,8.59431074917,36.620498894
52.0,13.0,8.59431074917,37.2249083619
61.0,14.0,8.59431074917,36.7403842408
59.0,16.0,8.59431074917,61.1506359494
53.0,15.0,8.59431074917,54.5345522512
57.0,16.0,8.59431074917,58.9513053798
57.0,11.0,8.59431074917,37.7534319851
53.0,12.0,8.59431074917,29.3184047256
55.0,11.0,8.59431074917,33.5121607877
57.0,10.0,8.59431074917,35.1360114944
56.0,10.0,8.59431074917,38.3932163855
55.0,10.0,8.59431074917,30.883222091
54.0,10.0,8.59431074917,25.1971495845
53.0,10.0,8.59431074917,20.1539399111
52.0,10.0,8.59431074917,18.8913137581
56.0,11.0,8.59431074917,38.8969705697
58.0,9.0,8.59431074917,22.5023062864
57.0,9.0,8.59431074917,14.4910221313
58.0,10.0,8.59431074917,27.811674185
56.0,9.0,8.59431074917,15.1535488477
54.0,9.0,8.59431074917,20.4417192808
53.0,9.0,8.59431074917,10.1380146448
52.0,9.0,8.59431074917,11.4262023811
57.0,8.0,8.59431074917,13.6310881019
56.0,8.0,8.59431074917,13.6370804537
55.0,8.0,8.59431074917,14.0333993653
54.0,8.0,8.59431074917,8.95314032636
53.0,8.0,8.59431074917,8.80549161831
52.0,8.0,8.59431074917,8.93488551349
55.0,9.0,8.59431074917,25.5027212133
59.0,10.0,8.59431074917,21.7960043023
60.0,15.0,8.59431074917,48.8985369533
53.0,11.0,8.59431074917,23.6013856323
52.0,11.0,8.59431074917,21.8258601414
54.0,11.0,8.59431074917,29.2535187564
16.0,45.0,8.65331665375,173.563654587
23.0,46.0,8.65395637242,109.441950236
47.0,39.0,8.6692896786,288.192671589
44.0,46.0,8.71841265496,47.7303542443
43.0,46.0,8.71841265496,57.533171045
47.0,49.0,8.71841265496,20.0505575327
45.0,48.0,8.71841265496,29.5890993734
47.0,46.0,8.71841265496,40.312872268
45.0,46.0,8.71841265496,43.8907654294
44.0,48.0,8.71841265496,30.7036676988
43.0,48.0,8.71841265496,36.5187228751
46.0,44.0,8.71841265496,62.0724833292
