obj,#Populacao,Rm/re,std,tm,tm_std,tp,tp_std,M_t,M_p,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Exc,flong,Sim,Conc
K0867,3,0.696267214791,0.374321043853,9.48989276738,0.272551450306,9.64330724299,0.056010365802,708708.568763,345067.038846,0.796099322082,0.425193526645,0.722052541914,0.857726292324,0.0113694931567,0.0942599269503,-0.0259748379794,37.1302560067,11.709705296,24.4199806514,0.77199153228,0.684631711296,0.978276339345,0.718487394958,0.644123374302
K0867,4,0.894840658422,0.396481138346,9.48989276738,0.272551450306,9.80364173775,0.0632369531443,708708.568763,246680.3829,1.22052203234,1.16288694427,0.133720616815,4.29903160838,1.14109612904,1.95752970146,0.275145424582,46.7819138171,11.6329914121,29.2074526146,0.469766452986,0.751335709403,0.560849399588,0.743697478992,0.504765257673
K0868,1,0.85599114743,0.263682237065,8.9861346505,0.285478108022,8.6638059039,0.107317250857,607777.168438,31748.6648781,1.01967932518,0.327288001497,0.231687110055,0.082211689699,1.18990602243e-05,0.0019177874091,-0.000126883891863,39.2534531099,20.8150328489,30.0342429794,-0.480895274201,0.469727343715,1.39473669211,0.528925619835,0.30333872104
K0868,2,0.882900644642,0.337167723261,8.9861346505,0.285478108022,8.86209255998,0.04449320288,607777.168438,54609.7095021,1.13752898765,0.554539178838,1.1434769229,2.745357815,1.12486372717,0.759148793583,0.0041866599861,42.6404498627,19.4807094235,31.0605796431,-0.427126276184,0.543140152456,1.58382692897,0.853002070393,0.384753862034
K0868,3,0.779161261106,0.254919899574,8.9861346505,0.285478108022,9.06900785645,0.0493701293847,607777.168438,91325.4893186,0.855976921329,0.314235864611,0.061480845365,1.07127789185,0.0740785029304,0.258853680093,-0.0226622846942,36.991645834,16.8927662181,26.9422060261,-0.358808589855,0.543335641406,1.71688408737,0.467908902692,0.311198699712
K0868,4,0.423499595283,0.220412895801,8.9861346505,0.285478108022,9.35105515798,0.225502388749,607777.168438,430093.304739,0.290835212892,0.0146692493277,0.00417567875649,0.0232292364986,-3.99600587489e-05,0.000441636932041,-1.51744486397e-05,19.9279106125,12.7909604439,16.3594355282,-0.349043640179,0.358138407352,1.39175176076,0.887966804979,0.496325637691
K0869,1,0.779855628493,0.183320073261,9.36167244236,0.251927391577,9.0392315045,0.142648859658,978524.531505,92562.0317324,0.817066771612,0.0403846266375,0.0697136639207,0.399217827013,-0.0257547135264,0.029578635473,0.0172920457112,43.3740950075,33.7426535732,38.5583742903,-0.446254540328,0.222055156025,1.16832152413,0.430735930736,0.230597435525
K0869,2,0.747341858519,0.199128943816,9.36167244236,0.251927391577,9.28425283114,0.0540501265518,978524.531505,140886.77348,0.761535812672,0.03565735377,0.0401295953706,0.461959909244,-0.0113741835092,0.0216519034945,-0.0124803289029,41.9079811461,32.5324066108,37.2201938785,-0.645969301328,0.223718114758,0.933924587631,0.926406926407,0.262150467023
K0869,3,0.732282845357,0.215045669256,9.36167244236,0.251927391577,9.44841751648,0.0374739853559,978524.531505,143363.298808,0.743159499532,0.0200920699663,0.000720282202372,0.498876983087,0.00182612912116,0.0289420755569,0.00206217238852,40.3951316524,33.301735286,36.8484334692,0.294263698862,0.175600278453,1.17350729759,0.516268980477,0.283881052445
K0869,4,0.485262618726,0.275831010423,9.36167244236,0.251927391577,9.67513591367,0.115736392254,978524.531505,601623.656395,0.397004914729,0.0420283638769,0.0130994885617,0.12630568507,0.000924133094871,0.00888139742098,-0.000204730571465,33.3364097938,18.8262032083,26.081306501,0.709233259319,0.435266025201,0.924485194113,0.858071505959,0.573291467769
K0871,1,0.656163530038,0.140647145611,9.34621568205,0.175110287917,9.13653760055,0.0504510173219,797628.451588,72657.414263,0.572809056474,0.0126616127249,0.0556315496516,0.157998969578,-0.000222700640105,0.00120642844981,1.52757351236e-05,26.901887109,22.0467956231,24.4743413661,0.297979927282,0.180474011591,1.17825323643,0.731060606061,0.186464249245
K0871,2,0.686504200707,0.213723938644,9.34621568205,0.175110287917,9.28171017012,0.040185803445,797628.451588,117576.079032,0.658757277778,0.0762701620203,0.0178435148983,0.00493059961579,2.53602656273e-05,-0.00164760642774,9.25887260427e-05,31.3913030969,20.0809967739,25.7361499354,-0.655736920412,0.360300631296,1.11395669349,0.819734345351,0.318643779555
K0871,3,0.910916347116,0.319831140505,9.34621568205,0.175110287917,9.38525647879,0.0229648675641,797628.451588,133916.466562,1.18765415207,0.80615605031,0.0969111720545,0.18862858977,-0.000718002878848,-0.000463102129026,-0.000884442489814,46.8842612549,17.4768704048,32.1805658298,0.681636212179,0.627233746741,0.854668171673,0.998102466793,0.351073447074
K0871,4,0.625357694518,0.393055966397,9.34621568205,0.175110287917,9.58175634985,0.113058873039,797628.451588,473478.491731,0.694943632102,0.28572844095,0.200780533027,0.287755952351,0.00617645017671,0.0239502414299,0.00245103747092,35.9982116506,13.0026895076,24.5004505791,0.5506010725,0.638796237051,0.695413685304,0.535104364326,0.708303336014
K0872,1,0.826434506901,0.167479215499,9.32131915787,0.18674390768,9.10967054693,0.0365506182115,779445.033648,65326.8378085,0.905489022992,0.0830886962579,0.103771384996,0.416495000639,-4.23201316046e-05,-0.0343964504606,-0.0132917058523,45.7843603731,32.9221778437,39.3532691084,-0.649073656769,0.280929610561,0.917654837858,0.589977220957,0.194315803405
K0872,2,0.705947697383,0.176625068363,9.32131915787,0.18674390768,9.23683326442,0.0348023905148,779445.033648,100371.486466,0.67435956642,0.0438611168821,0.00158608597282,0.029407580805,-5.52265726283e-05,-0.00070730455545,-5.58409333309e-05,39.3946098278,28.5729857345,33.9837977811,0.040509698948,0.27469809044,1.37718313347,0.97722095672,0.244726081151
K0872,3,0.72327390617,0.206523355101,9.32131915787,0.18674390768,9.36164981843,0.0329407719663,779445.033648,121080.24026,0.722112758283,0.0271175182327,0.0529343801579,0.0187701901891,0.000947283811693,-0.00391452780915,-0.000690453100565,39.4163716966,31.2511239366,35.3337478166,0.455676827039,0.207153713256,0.868804148672,0.812785388128,0.280496409963
K0872,4,0.46718177412,0.27309671637,9.32131915787,0.18674390768,9.57729647931,0.129620122717,779445.033648,492499.357058,0.373255981766,0.0318523182866,0.0486368075338,0.0663379696433,0.000233272770682,0.00620107937465,-0.000349646795209,31.1083781651,18.4837980938,24.7960881295,-0.163003923835,0.405825723359,0.613592676278,0.761687571266,0.594726840138
