#CALIFA_ID,ned_name,ppak_file,ra,dec,b,l,d_Mpc,modz,INFOmodz,IRSA_E(B-V),e_IRSA_E(B-V),Mr,u-r,objID,run,rerun,camcol,field,obj,type,flags,fiberMag_r,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,petroR50_r,petroR90_r,isoA_g,isoB_g,isoA_r,isoB_r,isoAgrad_r,isoBgrad_r,specObjID,z,zErr,zConf,zStatus,specClass,velDisp,velDispErr,eClass,J,eJ,H,eH,K,eK,FUV,eFUV,NUV,eNUV,Fnu_12,Fnu_25,Fnu_60,Fnu_100,NEDNAME,CHANDRA_flux_aper_b,CHANDRA_hard_hs,mjd,plate,fiberid,FIRST_flux_int,FIRST_e_flux_int,FIRST_MajAx,FIRST_MinAx,FIRST_PosAng,abs_U,abs_G,abs_R,abs_I,abs_Z,abs_J,abs_H,abs_K,eabs_U,eabs_G,eabs_R,eabs_I,eabs_Z,eabs_J,eabs_H,eabs_K,MU50R,PETROTHETA,PETROTH50,PETROTH90,SERSIC_N,SERSIC_TH50,SERSIC_FLUX,CLASS,SUBCLASS,int_r_mag,PA,PA_align,PA_err,BA,BA_err,re,r90,r20,hlma,el_mag,hlr,circ_mag,sky,ba2,pa2
K0001,IC5376,IC5376,0.33241082,34.52566812,-27.21559355,111.3397123,65.46,34.08,N,0.0706,0.0014,-20.65,2.61,758874373141561601,4152,648,6,64,257,3,34628309008,16.02146721,16.40677643,14.48584175,13.62735653,13.16048908,12.89414787,0.369167507,0.27162993,0.197008699,0.14938572,0.105916344,21.87024498,8.446649551,28.12245941,158.9088745,40.746315,168.0810547,47.13463593,6.288699627,1.914288282,0,0.016792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.767,0.048,11.973,0.051,11.720,0.043,0,0,0,0,0,0,0,0,IC5376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.364243507,107.11270904,3.077709,0.3506714105,0.2673380672,0.0107867121,9.5039997100,35.639999389,1.9800000190,9.9,13.5668230184,5.94,13.6141854946,109.809672857,0.2673380672,107.11270904
K0002,UGC00005,UGC00005,0.77351247,-1.91383463,-62.2519896,96.22271277,96.38,34.92,N,0.0401,0.0013,-21.76,2.76,587747117839614023,6371,40,6,151,71,3,1125971042373648,17.29951286,16.1230278,13.94192123,13.26508713,12.8963232,12.78683186,0.205843538,0.151457712,0.109849773,0.083295755,0.059057727,25.58309174,12.4019413,25.60126305,110.9631271,50.99581528,122.0798187,54.54440308,4.814138889,1.627451777,0,0.02434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.268,0.075,13.880,0.081,13.371,0.091,0,0,0,0,0.25,0.56,0.88,2.60,UGC00005,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.028848648,171.00332641,55.486328,3.6298263073,0.5438886880,0.0109086139,12.671999931,28.908000946,6.3359999656,11.484,13.1234473095,8.712,13.1704440319,129.860545682,0.543888688,171.00332641
K0003,NGC7819,NGC7819,1.10210523,31.47200751,-30.33662865,111.3151392,64.27,34.04,N,0.0565,0.0009,-20.57,2.30,758874373142937646,4152,648,6,85,46,3,34628309008,16.76483727,16.06271935,14.28064919,13.62360382,13.48658752,13.6898222,0.291452974,0.214448333,0.155535817,0.117938101,0.08361958,38.26852036,14.60249996,30.78056526,128.3769073,65.92675781,133.6854858,69.76292419,3.962272406,2.446655989,0,0.016677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.97,2.65,NGC7819,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.213662147,9.6088438034,86.065842,6.7872772216,0.5294741988,0.0336157903,19.007999420,45.540000915,5.1479997634,10.2961,13.5497358809,8.316,13.4879954508,109.192942607,0.5294741988,9.6088438034
K0004,UGC00029,UGC00029,1.14060365,28.3017234,-33.44107744,110.5569341,118.58,35.37,N,0.0530,0.0012,-21.97,2.70,758874299604599050,4135,648,5,283,266,3,68988047376,16.26246071,16.3736763,14.46725655,13.54228306,13.10324192,12.84916973,0.274853796,0.202234805,0.146677554,0.11122115,0.078857183,22.95294571,8.869948387,27.49419975,86.19494629,66.9478302,114.3450165,76.55858612,8.85369873,2.759770632,0,0.02931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.426,0.058,12.743,0.067,12.539,0.056,0,0,0,0,0,0,0,0,UGC00029,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.053049087,104.04418945,0.907189,1.9472445249,0.7989897131,0.0333179607,14.652000427,59.400001525,3.1679999828,6.732,13.5188754657,6.336,13.4801095766,109.064033122,0.7989897131,104.04418945
K0005,IC1528,IC1528,1.27240327,-7.09339021,-67.14425562,92.0570012,47.86,33.40,N,0.0347,0.0008,-20.41,2.18,587747072735445184,6361,40,2,44,192,3,1126005402112120,17.28198051,15.35303116,13.70645332,13.08639336,12.81064701,12.8763895,0.17737852,0.13051343,0.094659224,0.071777225,0.050890945,34.91903687,14.90559673,31.55147171,152.8778687,62.41839981,160.6796265,69.31319427,2.692896843,2.547011375,0,0.01278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.672,0.096,13.989,0.082,13.395,0.098,0,0,0,0,0,0,0,0,IC1528,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.726716041,8.0238399505,72.356842,0.2132314294,0.3633654415,0.0098855048,17.027999877,41.976001739,7.1279997825,16.236,12.8579563565,9.9,12.9228177719,123.26253545,0.3633654415,8.0238399505
K0006,NGC7824,NGC7824,1.2759865,6.92014687,-54.15170689,103.032667,80.17,34.52,N,0.0499,0.0011,-21.95,3.17,587743958889791556,5636,40,2,130,68,3,68988047376,15.20729351,16.00550842,13.5772419,12.71332455,12.28933334,12.07104874,0.26123479,0.192214087,0.139409691,0.105710141,0.074949808,28.70924568,9.007182121,29.04437065,120.6554108,73.91184998,139.2899475,79.99323273,3.994282961,1.858071089,0,0.020451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGC7824,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.486436843,160.16369628,-20.395304,2.8700659275,0.7478275299,0.0146698122,9.8999996185,36.431999206,1.9800000190,7.92,12.6743602241,6.732,12.716485567,145.048486831,0.7478275299,160.16369628
K0007,UGC00036,UGC00036,1.30783959,6.77202923,-54.30240891,103.0068326,82.41,34.58,N,0.0504,0.0016,-21.30,2.74,587743795680641060,5598,40,2,124,36,3,105495269392,16.12401581,16.28752518,14.32672119,13.42565155,12.95314121,12.68413448,0.269602627,0.198371053,0.143875241,0.109096237,0.077350594,16.80584335,7.407170296,19.84444427,100.6557922,37.49438095,128.731369,46.01284027,7.423974991,2.469867229,0,0.020958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGC00036,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.133574485,9.8444118499,9.288406,4.4517769813,0.6001959443,0.0572523213,7.9200000762,28.511999130,2.7720000743,7.92,13.2759482494,5.94,13.3495931402,114.870767866,0.6001959443,9.8444118499
K0008,NGC0001,NGC0001,1.81608441,27.70808138,-34.1473377,111.1074197,58.34,33.83,N,0.0638,0.0014,-21.11,2.24,758874300141797513,4135,648,6,288,137,3,71135531024,15.37564373,15.28492069,13.70182991,12.89006519,12.49813175,12.25979519,0.327358305,0.240867123,0.174696922,0.132467389,0.093921036,18.92326355,7.828069687,23.79213715,110.6387405,70.68221283,131.2653503,76.21224213,6.006080151,2.682806253,0,0.015147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,2.21,6.46,NGC0001,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.537891387,30.213684082,-72.831314,5.9022274017,0.8040415644,0.0239137895,9.8999996185,43.164001464,2.3759999275,7.524,12.7886610109,6.336,12.8688515249,103.764969741,0.8040415644,30.213684082
K0009,NGC0023,NGC0023,2.47260843,25.92383203,-36.01318846,111.3678113,58.61,33.84,N,0.0382,0.0003,-22.00,2.15,587740525079887913,4836,40,6,381,41,3,1125936682897496,14.54792213,14.18608379,12.66893101,11.94744205,11.62139511,11.37175655,0.196991175,0.144944236,0.105125651,0.079713598,0.056517936,25.92420959,8.999041557,28.96769714,121.8618088,87.81000519,149.6923523,104.3266373,11.35591316,3.383871794,0,0.015227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.47,1.14,9.15,16.27,NGC0023,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.661572456,156.59729003,-24.702709,0.9410501122,0.4223782718,0.0399194471,11.088000297,45.144001007,2.3759999275,9.9,12.0047450522,6.732,12.0183778031,108.349842648,0.4223782718,156.59729003
K0010,NGC0036,NGC0036,2.84290734,6.38935201,-55.10828153,105.3435858,79.07,34.49,N,0.0597,0.0049,-21.86,2.48,587743795144425534,5598,40,1,134,62,3,158400809930800,16.11991692,15.44959164,13.71020031,12.81370926,12.48478603,12.37944984,0.342831165,0.252251923,0.182954133,0.138728574,0.098360293,32.42208862,14.00863457,34.89094543,124.2626266,74.72953033,150.8075409,80.56137085,9.394301414,2.42639327,0,0.02032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25,0.41,0.58,2.40,NGC0036,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.459397316,77.121017456,76.762016,82.631332397,0.6541434526,0.0272505637,17.819999694,54.251998901,5.5440001487,9.9,12.9653094653,8.712,12.9107501894,123.371305124,0.6541434526,77.121017456
K0011,UGC00139,UGC00139,3.6327609,-0.73755717,-62.16178755,102.8518508,49.89,33.49,N,0.0449,0.0034,-19.82,1.70,588015508197212201,3325,41,2,132,41,3,34628309080,17.63388443,15.60756397,14.30027008,13.79702187,13.5503397,13.51087952,0.231542468,0.170366749,0.123564184,0.09369497,0.066430904,27.32182693,11.66825867,29.2502861,153.5667267,49.6802063,164.5293121,53.93645096,6.623432159,2.514663219,109716224643956736,0.0131719,0.000114454,0.987316012,3.0,2.0,-9999.0,-9999.0,-0.0150335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGC00139,0,0,51795,0389,208,0,0,0,0,0,-17.550003,-18.903898,-19.442617,-19.580976,-19.536842,0,0,0,0.00687749300524574,0.00534248536693258,0.00525256650904765,0.00524553345449117,0.00577309541252519,,,,20.619383,27.43654,12.684926,29.984005,5.9033337,0.77582955,366.9314,GALAXY,STARBURST,13.488771438,79.556350708,79.556351,0.6658396720,0.4357869327,0.0074067800,13.463999748,36.827999115,5.1479997634,10.692,13.5457478139,7.128,13.6837919185,132.364481972,0.4357869327,79.556350708
K0012,UGC00148,SDSSJ001551.00+160520.7,3.96373138,16.08983177,-45.92798656,110.5978634,53.46,33.64,N,0.0623,0.0020,-20.40,1.76,588290882175762488,1904,42,6,176,56,3,1266672023507032,17.6715374,15.32159996,14.00012112,13.40913486,13.12959766,12.92515755,0.322172552,0.237051487,0.171929523,0.130368948,0.092433207,30.88523293,13.22674847,29.37270355,144.4887238,36.83184433,147.8599548,43.0111618,3.813527107,2.12852788,0,0.013973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.641,0.092,13.806,0.117,13.678,0.079,0,0,0,0,0.25,0.43,2.24,5.08,SDSSJ001551.00+160520.7,0,0,52251,0752,540,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.211140632,95.922988891,-84.500008,0.3164116144,0.2264858335,0.0174098499,13.463999748,33.659999847,5.5440001487,14.256,13.4319139764,7.92,13.3401961207,169.59135106,0.2264858335,95.922988891
K0013,MCG-02-02-030,MCG-02-02-030,7.5304554,-11.11362897,-73.2192617,104.5313785,44.06,33.22,N,0.0331,0.0003,-20.52,2.40,587727177915826302,1729,40,1,132,126,3,158329942970384,16.55215836,15.27379799,13.49102974,12.79432201,12.43783283,12.27862263,0.170695692,0.12559627,0.091092885,0.069072977,0.048973601,29.3875103,12.60538578,28.20728493,122.8309937,57.75789642,137.7539825,63.82619858,7.33876133,2.324992657,184308600976441344,0.0117633,0.000105899,0.995887995,3.0,2.0,-9999.0,-9999.0,-0.134784997,13.789,0.082,13.159,0.077,12.710,0.075,0,0,0,0,0.25,0.25,0.75,2.11,MCG-02-02-030,0,0,52146,0654,201,0,0,0,0,0,-17.714218,-19.349094,-20.007792,-20.359821,-20.47631,-21.03267,-21.175308,-20.969309,0.00995245909340263,0.00847156427112347,0.00848429841435929,0.00848215989719622,0.00872601491188688,0.00879507785227013,0.00907416889913907,0.00949492866365146,20.247118,30.025917,13.476341,29.03256,2.194576,15.4289875,3805.3796,GALAXY,AGN,12.623140335,164.40945434,-15.924545,1.4106714725,0.3426879644,0.0058751935,13.067999839,33.263999939,5.1479997634,13.861,12.7245096326,8.316,12.7817594074,181.308905532,0.3426879644,164.40945434
K0014,UGC00312,UGC00312,7.84967464,8.466731,-54.07526723,114.4663193,55.72,33.73,N,0.0377,0.0016,-20.23,1.70,587744046932492394,5656,40,6,67,106,3,105495269392,16.99335861,15.39253426,14.00110245,13.59925365,13.45105648,13.66956139,0.193989292,0.142735481,0.103523672,0.07849887,0.055656675,30.84212303,13.14460468,27.39866257,108.8218765,47.17815018,115.2398529,50.04402924,2.969233751,2.085400343,0,0.014497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGC00312,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.680711746,9.2840404510,9.572037,0.5898790359,0.3455799520,0.0298493448,9.8999996185,35.639999389,3.5639998912,13.861,13.3267820807,8.712,13.3701000872,110.517837568,0.345579952,9.284040451
K0015,ESO539-G014,ESO539-G014,7.86745193,-19.76145279,-81.32832667,90.03316893,94.62,34.88,N,0.0208,0.0008,-19.97,2.49,587747296077742170,6413,40,2,105,90,3,17663321575512,18.31996536,17.5043869,15.51970005,14.9674387,14.65181255,14.47274399,0.107758261,0.079287507,0.057505913,0.043604992,0.030916482,25.22991753,10.51564026,28.24516106,145.4674835,16.63653374,154.9155731,17.98512077,11.68322182,0.682643712,0,0.023603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESO539-G014,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,14.866202354,116.35485839,-0.723142,0.0738263726,0.1153238564,0.0123669113,11.088000297,31.284000396,3.9600000381,11.0881,14.9395965625,4.356,14.9832755856,141.387621365,0.1153238564,116.35485839
K0016,MCG-02-02-040,SDSSJ003135.95-103022.1,7.89911563,-10.50639449,-72.73379741,106.2872757,44.87,33.26,N,0.0322,0.0004,-19.79,2.16,587727225693536418,1740,40,2,74,162,3,1125934535151704,17.76215363,15.79234982,14.2144289,13.55644035,13.28068542,13.14597702,0.165043473,0.121437423,0.088076547,0.066785775,0.047351949,28.0271225,12.21754265,27.19172668,108.5680771,44.7178421,114.7736969,50.94753265,3.433322191,2.431374311,0,0.011755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.105,0.120,14.328,0.103,12.549,,0,0,0,0,0.25,0.30,1.95,4.58,SDSSJ003135.95-103022.1,0,0,0,0,0,10.97,0.152,12.53,7.41,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,13.368369102,52.658466339,52.254463,0.5575641393,0.2267705798,0.0362847484,12.671999931,32.868000030,5.9400000572,12.672,13.5834328743,6.732,13.5946263021,168.856519018,0.2267705798,52.658466339
K0017,UGC00335NED02,UGC00335,8.48884478,7.26827251,-55.34390701,115.2924498,70.79,34.25,N,0.0354,0.0011,-20.70,3.49,587744045322207266,5656,40,3,72,34,3,35253360660500,16.04279709,17.21981239,14.50293636,13.64293098,13.2269392,13.12658978,0.183338627,0.134898826,0.097839877,0.074189015,0.052600939,18.93634224,7.633802414,24.63722229,92.38122559,46.74958038,117.8290329,57.11058426,-2.705311775,2.94244504,0,0.018259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGC00335NED02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.203688621,147.38624572,-32.226753,1.0955445766,0.6264527440,0.0399907045,11.880000114,49.5,2.3759999275,7.524,13.4633864739,6.732,13.4488145221,122.750470748,0.626452744,147.38624572
K0018,NGC0155,NGC0155,8.66700084,-10.76651244,-73.16891494,108.5702799,82.04,34.57,N,0.0275,0.0015,-21.86,2.63,587727178453221380,1729,40,2,140,4,3,268570640,15.59764671,15.48653126,13.55790806,12.78684616,12.36559772,12.16788769,0.140311658,0.103239983,0.074878246,0.056777909,0.040256243,23.08435631,9.659468651,29.03959274,104.2552185,80.57949829,116.6974869,96.53847504,4.584536552,4.867259979,184308600376655872,0.0206639,0.000178381,0.999585986,4.0,2.0,184.6112061,5.307893753,-0.138325006,13.039,0.049,12.327,0.074,12.217,0.050,18.158274,0.011130123,19.542341,0.03770321,0,0,0,0,NGC0155,0,0,52146,0654,058,0,0,0,0,0,-18.788593,-20.580107,-21.322739,-21.72258,-21.825317,-22.431911,-22.629025,-22.400139,0.00519196916593352,0.00485445918727518,0.00486552681321277,0.00489862971610677,0.0048598265644535,0.00529412238062707,0.0054637825252827,0.00620265551809634,19.747309,24.864199,10.26958,30.207438,3.5181978,11.260992,4172.341,GALAXY,,12.349266052,174.95983886,-5.585161,1.2915062904,0.7757910490,0.0194455124,13.859999656,54.251998901,3.5639998912,7.92,12.6851695164,7.128,12.7161323468,184.771348339,0.775791049,174.95983886
K0019,ESO540-G003,ESO540-G003,8.91455675,-20.12538151,-82.12112788,94.81713105,41.30,33.08,N,0.0254,0.0014,-19.92,2.22,587747073815740422,6361,40,4,144,6,3,1125968895152144,16.48607635,15.52943993,13.84905529,13.23959446,12.91487026,12.79163647,0.140426978,0.103324838,0.074939795,0.056824576,0.040289331,20.66570091,9.610697746,25.29780769,143.627533,53.51579666,155.8119049,56.19615555,-2.801855326,2.795141459,0,0.011114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.032,0.049,13.396,0.061,12.934,0.079,0,0,0,0,0,0,0,0,ESO540-G003,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.971801757,90.715957641,-26.499043,0.2873891592,0.4717113971,0.0228243507,10.295999527,41.183998107,3.9600000381,10.2961,13.0330516966,7.128,13.1456438103,134.167884164,0.4717113971,90.715957641
K0020,NGC0160,NGC0160,9.01710821,23.95790835,-38.77930462,118.4264373,68.23,34.17,N,0.0330,0.0013,-21.70,2.94,587740586800709699,4851,40,1,86,67,3,68988047376,15.48523712,15.57999897,13.42776871,12.56224537,12.16303444,12.03654194,0.17485857,0.128659278,0.093314439,0.070757508,0.050167955,35.29214859,13.07041073,38.97025681,162.6488953,73.21614838,196.5233459,80.57142639,9.679832458,1.736786366,0,0.017522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGC0160,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.267127990,47.694751739,49.136749,0.5638918876,0.6252149343,0.0418758988,15.840000152,46.332000732,3.5639998912,9.9,12.6185441311,9.108,12.5749891573,111.787603006,0.6252149343,47.694751739
K0021,NGC0165,SDSSJ003629.04-100622.3,9.12051346,-10.10616335,-72.61658619,110.5232448,77.27,34.44,N,0.0344,0.0002,-21.17,2.93,587727226230931521,1740,40,3,82,65,3,34628309008,16.77614403,16.37355232,14.02361393,13.36177635,13.0820179,13.19950485,0.177679956,0.130735233,0.09482009,0.071899205,0.050977431,35.24702072,14.87118053,29.63644218,106.3252869,79.96728516,116.0743179,83.51246643,4.709769249,2.362598181,184308600292769792,0.0196437,9.96e-05,0.998953998,3.0,2.0,-9999.0,-9999.0,0.0994706,14.307,0.066,13.603,0.066,13.101,0.055,16.359509,0.0048612393,18.773787,0.026464496,0.27,0.34,0.83,2.11,SDSSJ003629.04-100622.3,0,0,52146,0654,038,1.75,0.148,5.43,2.16,135.7,-17.718513,-19.941845,-20.57798,-20.843538,-20.685707,-21.704159,-22.146584,-21.653145,0.0107462831561791,0.00603145839819664,0.00602904674139067,0.00603304782939989,0.00630318827238875,0.00712064378594946,0.00731151231978859,0.0105418522603681,21.180271,34.61892,15.968116,29.674261,4.062504,29.750414,3601.1357,GALAXY,STARFORMING,12.972091674,88.449890136,87.834892,5.1893033981,0.8232922554,0.0322054997,17.819999694,43.164001464,6.3359999656,8.712,13.2017333955,8.316,13.1730790504,170.87883774,0.8232922554,88.449890136
K0022,NGC0169,NGC0169,9.21503464,23.99097281,-38.75981013,118.6609107,59.43,33.87,N,0.0298,0.0008,-20.96,3.73,587740586800775291,4851,40,1,87,123,3,70403372486744,15.93483639,16.79500961,14.13627148,12.99224949,12.42527294,12.01848602,0.153727844,0.113111489,0.082037888,0.062206846,0.044105429,24.70631981,10.05597401,27.05973816,102.4325027,57.49846649,127.2591095,64.51509857,-2.062402964,3.280848503,0,0.015447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.366,0.062,11.602,0.055,11.407,0.045,0,0,0,0,0.46,0.42,0.85,3.59,NGC0169,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.356776237,87.504104614,89.015106,0.7690606713,0.4215885698,0.0073956456,16.236000061,69.695999145,4.3559999465,11.484,12.7604880516,7.92,12.834709503,111.908518537,0.4215885698,87.504104614
K0023,NGC0171,NGC0171,9.33980015,-19.93422499,-82.11674311,98.04746659,49.89,33.49,N,0.0210,0.0005,-21.24,2.59,587747074352611422,6361,40,5,144,94,3,68988047376,16.05388641,14.9494381,13.00227165,12.30820465,11.94040489,11.8902359,0.109048799,0.080237068,0.058194615,0.044127215,0.031286746,40.20973206,19.27885818,38.13113022,131.0502167,109.7220612,141.9429474,117.1852112,5.751935005,2.993867636,0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.604,0.050,12.760,0.067,12.473,0.072,0,0,0,0,0.30,0.27,0.57,2.47,NGC0171,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.877326965,49.187511444,-68.027489,1.2250427007,0.6333919167,0.0928082615,22.572000503,47.520000457,7.9200000762,13.464,12.2663206271,11.484,12.2466452857,148.901160382,0.6333919167,49.187511444
K0024,NGC0177,NGC0177,9.3930687,-22.54923343,-84.44536797,87.69891572,48.98,33.45,N,0.0216,0.0021,-20.42,3.05,587747296079118458,6413,40,2,126,122,3,17594602098704,15.73125648,16.19748688,13.82395935,13.09613895,12.72016811,12.53816032,0.116394967,0.085642315,0.06211495,0.047099885,0.033394407,26.59239769,8.84357357,33.53736115,177.3349762,37.58107376,171.0476227,41.00899887,5.538219929,1.291675925,0,0.012822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.078,0.042,12.428,0.050,11.877,0.056,0,0,0,0,0,0,0,0,NGC0177,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.938100814,127.96092224,10.347922,0.7601295709,0.3697053194,0.0574357286,9.1079998016,37.223999023,2.3759999275,9.5041,13.0595268301,5.5445,13.2056026409,148.269435269,0.3697053194,127.96092224
K0025,NGC0180,NGC0180,9.49042831,8.63516338,-54.08772798,117.2470848,68.55,34.18,N,0.0544,0.0021,-21.53,2.87,587743982507458603,5641,40,6,59,43,3,68988309520,16.37004852,15.81131268,13.70413971,12.80458736,12.56197262,12.40109253,0.282793313,0.208076626,0.150914535,0.114433922,0.081135072,44.22650528,18.55320358,40.44253159,151.4015961,87.03895569,172.7722168,90.65345001,6.864529133,2.664922237,0,0.017652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.51,0.31,1.13,3.44,NGC0180,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.200377464,158.63229370,-20.862707,2.2187559604,0.6435000896,0.0086777098,24.552000045,57.023998260,9.5039997100,13.464,12.6099713458,10.692,12.7137043489,141.383522803,0.6435000896,158.6322937
K0026,NGC0192,NGC0192,9.80589203,0.86415789,-61.85369756,116.4486294,52.48,33.60,N,0.0201,0.0004,-21.21,2.65,588015510347382842,3325,41,6,173,58,3,36775792656,15.34189034,15.14610863,13.28151608,12.44589806,12.0445509,11.80897999,0.104933627,0.077209167,0.05599853,0.042461988,0.030106079,28.95246696,11.82181835,31.1066246,158.3282318,58.17826462,167.4143829,65.49446106,7.570846081,1.914678693,0,0.01404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.54,0.42,3.29,6.21,NGC0192,4.215e-14,-0.4624,0,0,0,13.57,0.131,6.21,4.56,4.3,-17.825241,-19.82715,-20.605787,-21.053753,-21.249218,-21.896431,-22.160528,-21.959518,0.00761060202525731,0.00385143534907446,0.00396074317325316,0.00385914044747351,0.00399557082982372,0.00402733756740756,0.00405363494106846,0.00428522197492682,19.745329,30.026934,12.401274,30.91211,4.157441,12.683144,4558.57,GALAXY,STARFORMING,12.225475311,163.64889526,-16.351105,0.6202105879,0.3073578178,0.0202150307,13.067999839,38.015998840,3.1679999828,13.464,12.5311150088,8.316,12.4984967761,123.932490632,0.3073578178,163.64889526
K0027,NGC0216,,10.36320664,-21.04467378,-83.50417934,101.8737053,17.06,31.16,N,0.0196,0.0002,-18.01,1.58,587747074890072103,6361,40,6,153,39,3,1125971042373648,17.02689934,14.83336449,13.66725159,13.2061739,12.9398241,12.96282387,0.101047844,0.074350044,0.053924851,0.040889584,0.028991224,24.72006798,10.99553013,26.95612526,136.8286896,45.59689331,158.9373474,50.44444275,1.996834755,2.234766006,0,0.005204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.701221466,143.00643920,25.563438,0.7000157833,0.2665966451,0.0196406282,13.463999748,38.411998748,5.5440001487,13.861,12.9946323387,8.316,12.9368997942,143.790336461,0.2665966451,143.0064392
K0028,NGC0214,NGC0214,10.36682538,25.4993754,-37.31754909,120.1026982,58.34,33.83,N,0.0356,0.0006,-21.76,2.36,587740524546097263,4836,40,5,428,111,3,1126003254628368,15.97503853,14.61581898,12.85650063,12.1717844,11.81921577,11.64311028,0.185670093,0.136614293,0.099084079,0.075132459,0.053269848,33.1650238,14.26092625,34.80707932,139.7674255,86.95346832,152.9887238,93.93477631,5.11906004,2.89380002,0,0.015087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.844,0.064,12.101,0.064,11.665,0.064,0,0,0,0,0.42,0.30,2.08,6.49,NGC0214,4.740e-13,0.8623,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.903154373,59.305854797,61.283852,1.0671740770,0.6625677943,0.0060464045,15.840000152,40.391998291,6.3359999656,12.672,12.147426284,10.692,12.1999052127,108.611454997,0.6625677943,59.305854797
