#CALIFA_ID,ned_name,ppak_file,ra,dec,b,l,d_Mpc,modz,INFOmodz,IRSA_E(B-V),e_IRSA_E(B-V),Mr,u-r,objID,run,rerun,camcol,field,obj,type,flags,fiberMag_r,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,petroR50_r,petroR90_r,isoA_g,isoB_g,isoA_r,isoB_r,isoAgrad_r,isoBgrad_r,specObjID,z,zErr,zConf,zStatus,specClass,velDisp,velDispErr,eClass,J,eJ,H,eH,K,eK,FUV,eFUV,NUV,eNUV,Fnu_12,Fnu_25,Fnu_60,Fnu_100,NEDNAME,CHANDRA_flux_aper_b,CHANDRA_hard_hs,mjd,plate,fiberid,FIRST_flux_int,FIRST_e_flux_int,FIRST_MajAx,FIRST_MinAx,FIRST_PosAng,abs_U,abs_G,abs_R,abs_I,abs_Z,abs_J,abs_H,abs_K,eabs_U,eabs_G,eabs_R,eabs_I,eabs_Z,eabs_J,eabs_H,eabs_K,MU50R,PETROTHETA,PETROTH50,PETROTH90,SERSIC_N,SERSIC_TH50,SERSIC_FLUX,CLASS,SUBCLASS,int_r_mag,PA,PA_align,PA_err,BA,BA_err,re,r90,r20,hlma,el_mag,hlr,circ_mag,sky,ba2,pa2
K0428,NGC3780,NGC3780,174.8431719,56.27066284,58.12281634,141.9096241,35.32,32.74,N,0.0134,0.0006,-20.57,2.98,587735695367536660,3712,40,2,51,20,3,35253360660500,16.3476181,15.21364594,12.90565872,12.20294094,11.90610886,11.89642143,0.068098083,0.050105922,0.036340993,0.027556274,0.019537741,56.67408752,26.01942444,52.5429306,153.1694031,126.2856903,160.8104553,137.6410828,2.767487049,2.87448597,368959994709671936,0.00799788,0.000148119,0.999723971,4.0,2.0,83.11388397,4.790054798,-0.109461002,13.927,0.040,13.149,0.068,12.945,0.056,0,0,0,0,0.25,0.27,1.85,8.07,NGC3780,0,0,53033,1310,052,0,0,0,0,0,-17.211166,-19.087158,-19.81231,-20.173038,-20.10594,-21.271675,-21.425705,-21.192389,0.00988157036730489,0.00856689472597117,0.00856488455914561,0.00855747280028664,0.00859421133457875,0.00861309646812744,0.00866653938409158,0.00878954283478226,21.151596,55.869873,25.418343,46.583958,4.598855,29.750423,4791.721,GALAXY,BROADLINE,11.570834159,68.941139221,59.257141,2.0575385093,0.6641996502,0.0357418954,29.700000762,64.152000427,13.859999656,15.444,12.2757505586,13.861,12.1712952404,148.658698922,0.6641996502,68.941139221
K0429,NGC3786,SDSSJ113942.39+315421.7,174.9266447,31.90602912,73.70316865,191.5961547,40.93,33.06,N,0.0239,0.0002,-19.82,4.94,587739647284805742,4632,40,3,211,110,3,70369012748304,18.67803574,18.29918861,13.95367146,13.30287457,13.02199459,12.84780788,0.123094678,0.090571895,0.065690294,0.049810957,0.03531659,36.60650635,17.86113167,35.08094025,145.3620605,59.93981552,165.0867767,65.63260651,6.917082787,2.309777737,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SDSSJ113942.39+315421.7,0,0,53473,2008,211,13.18,0.141,3.00,2.28,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,12.164036750,70.500381469,64.731384,0.7072119116,0.4666693806,0.0279747638,17.423999786,49.104000091,4.7519998550,19.404,12.5482071829,12.672,12.4592446604,116.384741257,0.4666693806,70.500381469
K0430,NGC3800,SDSSJ114013.77+152034.5,175.0562404,15.34232796,69.68812886,244.7853559,50.58,33.52,N,0.0311,0.0002,-21.08,2.29,587735349107884039,3631,40,5,388,7,3,1231487651418200,16.62064934,14.89498138,13.31350994,12.52667713,12.167202,11.90268135,0.159834519,0.117604718,0.08529675,0.064677946,0.045857467,30.12701035,12.9946804,34.83900833,165.9405518,46.64999008,175.7774658,53.52994919,-2.617868423,2.141900063,0,0.011048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.195,0.078,12.277,0.082,12.064,0.073,0,0,0,0,0.34,0.45,4.81,11.85,SDSSJ114013.77+152034.5,0,0,53386,1755,588,38.38,0.150,15.84,7.81,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,12.280309677,52.139862060,49.44986,2.2806820869,0.4049384891,0.0334587804,13.067999839,35.639999389,5.5440001487,14.256,12.3981665599,9.108,12.5233492343,139.812681208,0.4049384891,52.13986206
K0431,NGC3798,NGC3798,175.0580803,24.69706384,73.81916114,217.5805241,53.46,33.64,N,0.0326,0.0007,-21.12,2.45,587742190438121488,5224,40,4,147,16,3,68988047376,15.35022545,15.1360817,13.39652348,12.60763073,12.20388031,11.9528265,0.169366688,0.124618404,0.090383656,0.068535186,0.048592303,18.49248695,8.132746696,22.59585381,150.6126099,60.82782745,189.5500488,68.11832428,10.734272,2.049502134,705326128444735488,0.0119968,0.000204284,0.992897987,3.0,2.0,176.0,5.0,-0.126139,12.453,0.063,11.613,0.082,11.085,0.035,0,0,0,0,0.25,0.25,0.94,2.54,NGC3798,0,0,53856,2505,483,3.11,0.151,6.06,3.35,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,12.305702209,84.074134826,79.619133,7.6111989021,0.6295717954,0.0178554076,9.8999996185,43.560001373,2.7720000743,7.92,12.5965979704,6.732,12.6299368519,119.827735651,0.6295717954,84.074134826
K0432,NGC3801,NGC3801,175.0707619,17.72788781,71.09219824,239.0330272,50.58,33.52,N,0.0326,0.0025,-21.39,3.02,587742775093493871,5360,40,5,192,111,3,1196305426813016,16.22127342,15.32414532,13.15032101,12.22525215,11.74832726,11.55086136,0.178893372,0.131628051,0.095467642,0.072390221,0.051325567,34.17175674,15.25270557,39.92629623,166.700531,75.28277588,195.6727142,91.86364746,8.346715927,4.167842388,706170634584981504,0.0116505,0.000202642,0.995633006,4.0,2.0,199.1108246,8.673879623,-0.401165992,12.413,0.057,11.594,0.057,11.149,0.046,0,0,0,0,0,0,0,0,NGC3801,3.075e-15,-0.3649,0,0,0,551.76,0.141,14.33,6.47,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,11.770473480,125.99973297,-57.135265,0.2169915735,0.5544173121,0.0347757115,21.384000778,67.716003418,7.5240001678,13.464,12.1560584038,9.9,12.2701788988,160.808741089,0.5544173121,125.99973297
K0433,NGC3805,NGC3805,175.1736605,20.34294673,72.46934304,231.906861,97.27,34.94,N,0.0226,0.0008,-22.57,2.81,587742573224329271,5313,40,5,105,55,3,36775792656,15.47629929,15.30642223,13.29509735,12.43891907,12.00178623,11.75261116,0.121118061,0.08911752,0.064635456,0.049011111,0.034749489,21.14362144,8.676908493,26.2249794,101.6281433,81.19232941,115.6418381,100.352562,5.057619572,5.682541847,705608990599413760,0.0217997,0.000232498,0.997900009,4.0,2.0,297.242157,7.638193607,-0.184673995,12.504,0.072,11.716,0.053,11.067,0.066,0,0,0,0,0,0,0,0,NGC3805,0,0,0,0,0,3.60,0.136,3.91,0.12,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,12.048216819,67.128738403,63.582741,1.1977028846,0.6592773199,0.0441809073,11.880000114,55.043998718,3.5639998912,8.316,12.42494914,7.128,12.4705016153,139.041020309,0.6592773199,67.128738403
K0434,NGC3812,NGC3812,175.2821666,24.82183533,74.04455424,217.2966588,54.20,33.67,N,0.0259,0.0010,-21.16,2.80,587742190438252553,5224,40,4,149,9,3,35255508144148,14.74552822,15.43831921,13.39807892,12.57548523,12.17130566,11.89707851,0.131297022,0.096607104,0.070067532,0.053130087,0.037669893,15.63125229,6.369784832,22.05263519,100.4466324,85.03849792,118.6707687,94.31773376,-2.023736715,3.07443738,0,0.012102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGC3812,0,0,0,0,0,1.94,0.144,3.38,1.40,165.9,,,,,,,,,,,,,,,,,,,,,,,,,,12.112371444,63.920478820,59.602478,2.3610591888,0.9186725020,0.0120551288,9.8999996185,47.124000549,1.9800000190,6.336,12.4926725436,6.336,12.4782818064,123.992724285,0.918672502,63.92047882
K0435,NGC3809,NGC3809,175.3168915,59.88577042,55.10501771,138.2602311,49.66,33.48,N,0.0115,0.0005,-20.99,2.66,587742980710924374,5408,40,4,129,86,3,68988047376,14.96533775,15.20847702,13.31271458,12.52080441,12.11195564,11.85331726,0.060917396,0.044822443,0.032508973,0.02465057,0.017477563,17.27687645,6.942241192,22.50049591,104.1561279,74.42208099,125.8533096,83.87338257,7.297285557,3.147347689,0,0.011475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.341,0.050,11.635,0.069,11.374,0.073,0,0,0,0,0,0,0,0,NGC3809,0,0,0,0,0,101.23,0.141,1.07,1.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.138113021,138.19644165,-51.124557,1.2843239307,0.7284091711,0.0107719404,9.5039997100,49.104000091,2.3759999275,6.732,12.467258152,5.94,12.5299608625,132.230272998,0.7284091711,138.19644165
K0436,NGC3811,NGC3811,175.3192834,47.69081303,65.29011651,151.9636577,45.92,33.31,N,0.0190,0.0002,-20.76,2.30,588017111830233150,3698,41,5,126,62,3,105495269392,15.59363556,14.94714642,13.20209312,12.60522747,12.23301697,12.15197468,0.097919419,0.07204818,0.052255347,0.039623648,0.02809366,30.68234825,13.90186405,29.79623032,119.3075714,89.40356445,126.8678284,93.34606934,7.699994087,2.933973074,0,0.010247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.688,0.046,11.908,0.048,11.606,0.051,0,0,0,0,0.25,0.25,2.49,5.73,NGC3811,0,0,53054,1444,505,4.97,0.138,4.51,3.72,175.8,-18.228058,-19.539112,-20.102238,-20.395954,-20.472557,0,0,0,0.00877668617255913,0.00871541919937475,0.00871579551418923,0.00871616168131272,0.00873531239114982,,,,20.43134,36.295376,18.026749,35.398003,5.9033337,22.050297,5131.0977,GALAXY,STARBURST,12.200032234,19.772190094,12.119186,2.3845212459,0.6215412616,0.0462457947,17.027999877,46.728000640,5.1479997634,13.464,12.4387602665,10.692,12.4997846574,113.966563243,0.6215412616,19.772190094
K0437,NGC3815,NGC3815,175.4137157,24.8004982,74.15678174,217.46466,55.72,33.73,N,0.0275,0.0013,-20.74,2.04,587742190438252630,5224,40,4,149,86,3,1125900175413264,16.52752304,15.18694973,13.68370247,13.0718832,12.73697948,12.6236763,0.153963715,0.113285027,0.082163759,0.062302288,0.044173099,22.67662811,10.19085026,26.95852852,133.1714783,54.80018997,139.2633057,60.64180756,5.07246542,2.678592682,705326128826417152,0.0123856,0.000164174,0.999391019,4.0,2.0,79.48897552,4.919510365,-0.157499999,13.554,0.086,13.105,0.067,12.654,0.066,0,0,0,0,0,0,0,0,NGC3815,0,0,53856,2505,574,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.888651847,75.003166198,70.685165,0.4563206732,0.4155147373,0.0092992931,10.295999527,31.680000305,3.9600000381,11.0881,13.0315312899,7.524,13.0902225962,117.322785624,0.4155147373,75.003166198
K0438,UGC06653,UGC06653,175.4155525,15.96571253,70.34433541,243.9695739,49.20,33.46,N,0.0301,0.0003,-19.98,2.27,587738571115397165,4381,40,6,33,45,3,71135531024,15.8501215,15.90931511,14.33258343,13.56294155,13.16269016,12.86603355,0.153853193,0.113203719,0.08210478,0.062257569,0.044141393,13.27772808,6.018883228,17.02684784,118.1299667,29.85680962,131.6337128,34.72279739,6.151006699,1.784629464,495906683525005312,0.0107335,9.7e-05,0.997596979,3.0,2.0,-9999.0,-9999.0,-0.0434811,14.753,0.107,12.333,,12.042,,0,0,0,0,0.25,0.67,1.65,2.54,UGC06653,0,0,53376,1761,325,8.60,0.152,3.91,1.90,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,13.333876609,21.471429824,18.854431,1.4870196580,0.3684826493,0.0136155514,5.9400000572,23.364000320,1.5839999914,6.732,13.6353983566,3.96,13.774449352,147.663522668,0.3684826493,21.471429824
K0439,NGC3816,NGC3816,175.4501422,20.10371403,72.5940286,233.0066953,84.72,34.64,N,0.0191,0.0006,-22.11,2.69,588023669705080900,5225,41,4,75,68,3,35255508144148,15.24866772,15.32174778,13.35255146,12.58686638,12.19603539,12.04314137,0.097978331,0.072091527,0.052286789,0.03964749,0.028110564,25.76708984,10.23843956,31.51118469,119.5451508,76.31869507,141.8993683,86.39543152,10.76254272,3.17553854,706453419350556672,0.019148,0.000187035,0.999343991,4.0,2.0,207.1373901,5.307893753,-0.128451005,12.577,0.052,11.938,0.051,11.598,0.037,0,0,0,0,0,0,0,0,NGC3816,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.211152076,71.334709167,67.868706,1.4312149286,0.6513544321,0.0193043034,13.859999656,55.439998626,3.1679999828,9.5041,12.543378722,7.524,12.6195090928,112.702376439,0.6513544321,71.334709167
K0440,NGC3825,NGC3825,175.5988768,10.26414064,66.57142923,255.6821194,95.50,34.90,N,0.0562,0.0033,-22.21,2.52,587734893288095841,3525,40,4,138,97,3,68988047376,15.01513863,15.51225758,13.65995312,12.85079861,12.45017815,12.18597317,0.29313004,0.215682298,0.156430796,0.118616737,0.084100746,12.43569088,5.742697716,18.44176292,127.5631866,72.64841461,138.2034912,83.03370667,3.501448631,3.826761484,345033451038048256,0.021631701,0.000186261,0.999108016,4.0,2.0,195.2269897,4.919518948,-0.166308001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGC3825,0,0,52760,1225,499,0,0,0,0,0,-18.959198,-20.607224,-21.34417,-21.713718,-21.926456,-22.45867,-22.652473,-22.312614,0.00209940497824345,0.00211980358239174,0.00209653495185832,0.00210347263770189,0.00203082153473407,0.00215778733581666,0.00215778733581666,0.00257769773854453,18.52458,14.424066,6.1034565,18.791159,4.247588,8.218963,4170.9224,GALAXY,,12.423468589,85.162887573,83.440887,36.017696380,0.8507251143,0.0661384388,7.5240001678,32.472000122,1.9800000190,5.94,12.587989876,5.5445,12.6284417738,243.202664976,0.8507251143,85.162887573
K0441,UGC06677,UGC06677,175.7176323,26.54070034,74.70469082,211.2230521,124.17,35.47,N,0.0235,0.0007,-21.09,2.89,587741600954712170,5087,40,2,160,106,3,68988047376,16.1593914,17.3989315,15.44138622,14.45071316,13.92509937,13.57578278,0.12550427,0.09234485,0.06697619,0.050786015,0.036007918,9.174459457,3.765535593,13.0845356,107.7257538,19.84523773,135.8990021,24.53931427,6.690152645,1.630355477,625386958939488256,0.0285269,0.000184998,0.999145985,3.0,2.0,-9999.0,-9999.0,-0.219275996,13.201,0.058,12.216,0.076,12.216,0.042,0,0,0,0,0,0,0,0,UGC06677,0,0,53792,2221,187,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.92445755,147.01274108,-37.593258,0.8279640674,0.2353002578,0.0308159552,5.5440001487,27.719999313,1.1879999637,7.524,14.0923916675,3.96,14.1775074798,123.727397066,0.2353002578,147.01274108
