x,y,age,mass
48.0,27.0,9.04261224088,600.540641485
48.0,26.0,9.26781223627,256.340121464
47.0,27.0,9.28365462394,356.066306051
47.0,25.0,9.33270351813,383.208217022
46.0,24.0,9.35214699187,873.848977995
47.0,23.0,9.40198119063,809.955584558
47.0,24.0,9.40198119063,809.987991818
42.0,54.0,9.4304440165,82.2106651807
43.0,54.0,9.4304440165,67.5213224888
38.0,49.0,9.4304440165,148.149603946
41.0,54.0,9.4304440165,82.6355311542
43.0,52.0,9.4304440165,79.7975573146
42.0,52.0,9.4304440165,97.4844441012
41.0,52.0,9.4304440165,101.085397363
40.0,52.0,9.4304440165,100.70184765
44.0,54.0,9.4304440165,59.2318104425
40.0,54.0,9.4304440165,67.9112178216
50.0,50.0,9.4304440165,67.2155240509
39.0,52.0,9.4304440165,111.889570435
38.0,54.0,9.4304440165,94.4466587822
36.0,50.0,9.4304440165,167.470179838
37.0,50.0,9.4304440165,157.228744693
38.0,50.0,9.4304440165,140.135411606
39.0,50.0,9.4304440165,125.605429973
37.0,57.0,9.4304440165,87.9044061636
37.0,54.0,9.4304440165,105.051165651
46.0,56.0,9.4304440165,50.6666939511
47.0,56.0,9.4304440165,75.4987718316
36.0,54.0,9.4304440165,125.377626872
51.0,50.0,9.4304440165,57.2093126631
39.0,54.0,9.4304440165,82.7545347688
38.0,57.0,9.4304440165,70.6398924286
40.0,57.0,9.4304440165,60.7514585329
52.0,50.0,9.4304440165,50.9219831153
47.0,47.0,9.4304440165,97.6107405296
46.0,47.0,9.4304440165,89.5340217525
45.0,47.0,9.4304440165,86.9233570779
44.0,47.0,9.4304440165,93.6784610758
43.0,47.0,9.4304440165,96.7691265594
42.0,47.0,9.4304440165,101.755127554
41.0,47.0,9.4304440165,119.866235292
40.0,47.0,9.4304440165,136.191783255
50.0,57.0,9.4304440165,36.4692297668
49.0,57.0,9.4304440165,42.2882880235
48.0,54.0,9.4304440165,67.2740176484
47.0,54.0,9.4304440165,39.1461573554
49.0,51.0,9.4304440165,45.0535138651
48.0,51.0,9.4304440165,48.2653620909
47.0,51.0,9.4304440165,55.3431193529
39.0,47.0,9.4304440165,155.431214243
35.0,51.0,9.4304440165,169.310618764
37.0,47.0,9.4304440165,208.067944201
46.0,51.0,9.4304440165,62.4444199102
45.0,51.0,9.4304440165,71.8094622069
44.0,51.0,9.4304440165,62.3687373537
43.0,51.0,9.4304440165,69.3334443779
46.0,54.0,9.4304440165,49.4234464137
45.0,54.0,9.4304440165,91.9169065706
48.0,57.0,9.4304440165,48.0733141171
47.0,57.0,9.4304440165,62.311742996
46.0,57.0,9.4304440165,49.5889729511
39.0,57.0,9.4304440165,60.7241642325
48.0,56.0,9.4304440165,55.7958026175
49.0,56.0,9.4304440165,51.2984027226
48.0,47.0,9.4304440165,77.0570224422
40.0,51.0,9.4304440165,105.683345114
39.0,51.0,9.4304440165,122.239659791
38.0,51.0,9.4304440165,133.891054455
47.0,53.0,9.4304440165,39.7262353288
37.0,51.0,9.4304440165,133.084533157
36.0,51.0,9.4304440165,150.102218554
46.0,53.0,9.4304440165,62.2378269856
45.0,53.0,9.4304440165,97.8052698035
44.0,53.0,9.4304440165,69.0233864717
41.0,45.0,9.4304440165,157.4487378
42.0,45.0,9.4304440165,131.18673959
43.0,45.0,9.4304440165,115.602385584
44.0,45.0,9.4304440165,98.5688361373
45.0,45.0,9.4304440165,95.5661260572
46.0,45.0,9.4304440165,93.7578336219
47.0,45.0,9.4304440165,86.0816152655
40.0,50.0,9.4304440165,108.659742954
41.0,50.0,9.4304440165,102.803584322
43.0,53.0,9.4304440165,77.2987603378
42.0,53.0,9.4304440165,94.3041263999
41.0,53.0,9.4304440165,95.3524378929
40.0,53.0,9.4304440165,76.0411654239
39.0,53.0,9.4304440165,101.900054071
38.0,53.0,9.4304440165,101.253858459
37.0,53.0,9.4304440165,97.0253106187
36.0,53.0,9.4304440165,112.659435901
45.0,50.0,9.4304440165,58.4638626093
48.0,53.0,9.4304440165,88.8807948217
44.0,50.0,9.4304440165,62.4269868889
49.0,53.0,9.4304440165,57.3166942634
37.0,46.0,9.4304440165,231.953693764
50.0,56.0,9.4304440165,43.5209217564
51.0,56.0,9.4304440165,48.6025051012
43.0,50.0,9.4304440165,71.6022242604
48.0,46.0,9.4304440165,86.2839138559
47.0,46.0,9.4304440165,95.442438771
46.0,46.0,9.4304440165,88.5583304153
45.0,46.0,9.4304440165,88.9925462993
44.0,46.0,9.4304440165,101.686301986
44.0,52.0,9.4304440165,74.7862087072
45.0,52.0,9.4304440165,75.2961943128
46.0,52.0,9.4304440165,66.6691382967
47.0,52.0,9.4304440165,52.0476507349
48.0,52.0,9.4304440165,51.5701719029
49.0,52.0,9.4304440165,44.6812927104
50.0,52.0,9.4304440165,40.3354032038
51.0,52.0,9.4304440165,41.7547068235
53.0,50.0,9.4304440165,60.1404195136
37.0,49.0,9.4304440165,169.708847081
42.0,50.0,9.4304440165,94.085888217
51.0,53.0,9.4304440165,33.0998160833
50.0,53.0,9.4304440165,39.3400706626
43.0,46.0,9.4304440165,105.970594817
42.0,46.0,9.4304440165,113.109021899
41.0,46.0,9.4304440165,136.149374525
40.0,46.0,9.4304440165,157.296977539
42.0,51.0,9.4304440165,96.0572258898
41.0,51.0,9.4304440165,98.4862384823
36.0,46.0,9.4304440165,268.876925894
49.0,47.0,9.4304440165,62.2790037819
38.0,47.0,9.4304440165,181.241941263
47.0,48.0,9.4304440165,78.8794821129
40.0,56.0,9.4304440165,61.5261587563
39.0,55.0,9.4304440165,69.6448097607
37.0,48.0,9.4304440165,185.407306023
41.0,56.0,9.4304440165,51.1438183115
40.0,55.0,9.4304440165,60.9680986888
41.0,55.0,9.4304440165,61.7949178349
42.0,55.0,9.4304440165,62.7045031553
39.0,56.0,9.4304440165,63.9977079208
43.0,55.0,9.4304440165,64.7111310742
50.0,51.0,9.4304440165,67.1104319874
51.0,51.0,9.4304440165,67.804388267
51.0,48.0,9.4304440165,64.7525054448
48.0,49.0,9.4304440165,63.5142263185
47.0,49.0,9.4304440165,67.8558505459
46.0,49.0,9.4304440165,63.2031863521
45.0,49.0,9.4304440165,64.2515036561
44.0,55.0,9.4304440165,59.5494459019
44.0,49.0,9.4304440165,73.957686936
38.0,56.0,9.4304440165,75.2401006612
49.0,50.0,9.4304440165,55.4138218764
45.0,48.0,9.4304440165,76.2836122624
44.0,48.0,9.4304440165,84.6375393225
43.0,48.0,9.4304440165,88.9572502422
