x,y,age,mass
22.0,36.0,8.42471462041,139.439077772
46.0,47.0,8.61743280932,224.130316173
48.0,32.0,8.71803061864,171.824882202
47.0,47.0,8.74541408393,289.073505679
20.0,22.0,8.77443052893,84.0835487662
61.0,42.0,8.7911936705,32.6575327072
60.0,42.0,8.7911936705,43.1367332744
59.0,42.0,8.7911936705,51.4682939791
58.0,42.0,8.7911936705,58.2263296058
57.0,42.0,8.7911936705,71.7008251706
56.0,42.0,8.7911936705,93.8357422017
55.0,42.0,8.7911936705,120.29795805
54.0,42.0,8.7911936705,159.996827045
60.0,43.0,8.7911936705,41.0712022514
57.0,47.0,8.7911936705,49.2462175164
62.0,42.0,8.7911936705,30.2903218005
58.0,43.0,8.7911936705,52.373636206
59.0,47.0,8.7911936705,28.5848467868
60.0,47.0,8.7911936705,33.2216085717
59.0,48.0,8.7911936705,21.6412648949
62.0,41.0,8.7911936705,27.0711238343
61.0,41.0,8.7911936705,34.3540592714
60.0,41.0,8.7911936705,46.6961310987
61.0,43.0,8.7911936705,36.905215189
58.0,41.0,8.7911936705,68.6708268456
57.0,41.0,8.7911936705,80.1870529495
56.0,41.0,8.7911936705,102.933711992
55.0,41.0,8.7911936705,130.898889885
58.0,47.0,8.7911936705,36.1914752334
60.0,46.0,8.7911936705,32.5292915697
59.0,46.0,8.7911936705,30.3064421911
54.0,41.0,8.7911936705,175.914150462
57.0,43.0,8.7911936705,65.0967855593
56.0,43.0,8.7911936705,83.6154385229
55.0,43.0,8.7911936705,109.70462356
54.0,43.0,8.7911936705,153.447760333
53.0,43.0,8.7911936705,191.5944583
53.0,44.0,8.7911936705,175.053757192
54.0,44.0,8.7911936705,141.891408506
55.0,44.0,8.7911936705,100.320117646
56.0,44.0,8.7911936705,75.4640571107
57.0,44.0,8.7911936705,58.9665254561
58.0,44.0,8.7911936705,47.5239959902
59.0,44.0,8.7911936705,41.5744424401
60.0,44.0,8.7911936705,39.5439322991
61.0,44.0,8.7911936705,25.5267868192
53.0,45.0,8.7911936705,150.208080094
54.0,45.0,8.7911936705,125.784678739
55.0,45.0,8.7911936705,93.6332801616
56.0,45.0,8.7911936705,69.9421597583
57.0,45.0,8.7911936705,57.7784278032
58.0,45.0,8.7911936705,47.4152065711
59.0,45.0,8.7911936705,38.1852688705
60.0,45.0,8.7911936705,36.7586487534
55.0,46.0,8.7911936705,92.3897242907
56.0,46.0,8.7911936705,74.920613309
57.0,46.0,8.7911936705,56.7878611065
59.0,43.0,8.7911936705,45.5732339998
58.0,46.0,8.7911936705,44.3664185992
59.0,41.0,8.7911936705,60.5726088699
60.0,40.0,8.7911936705,53.3869709698
63.0,39.0,8.7911936705,35.389437119
62.0,39.0,8.7911936705,38.25107158
62.0,40.0,8.7911936705,33.1995415215
56.0,40.0,8.7911936705,109.028100406
61.0,39.0,8.7911936705,42.0835903429
60.0,39.0,8.7911936705,51.2960295857
59.0,39.0,8.7911936705,62.6100273217
57.0,40.0,8.7911936705,88.3863072184
58.0,39.0,8.7911936705,76.653946251
57.0,39.0,8.7911936705,89.140385598
55.0,40.0,8.7911936705,136.679845899
56.0,39.0,8.7911936705,115.962630493
55.0,39.0,8.7911936705,152.424803065
54.0,39.0,8.7911936705,189.061426962
59.0,40.0,8.7911936705,67.4403506301
61.0,40.0,8.7911936705,41.1263668812
61.0,38.0,8.7911936705,46.1240264948
60.0,38.0,8.7911936705,56.3119725562
59.0,38.0,8.7911936705,65.6635366717
58.0,38.0,8.7911936705,80.1843387562
58.0,40.0,8.7911936705,74.1708968117
54.0,40.0,8.7911936705,186.919958444
44.0,17.0,8.79829452914,213.926485585
45.0,17.0,8.80396471918,159.410804304
21.0,36.0,8.83543879651,147.512477836
48.0,47.0,8.83827018741,279.00620968
47.0,48.0,8.84005707758,329.548996163
20.0,23.0,8.88897300941,81.4509898039
21.0,23.0,8.90596979819,135.364507749
22.0,20.0,8.90877978744,180.18848612
20.0,21.0,8.90898450443,156.600978386
25.0,35.0,8.91117412173,197.904666454
21.0,22.0,8.91258365224,191.886278979
29.0,13.0,8.91822913537,162.483683951
48.0,46.0,8.92044878905,320.114342741
21.0,35.0,8.92731823205,136.148588454
27.0,47.0,8.93227951527,392.138074157
19.0,30.0,8.93992516377,117.933711451
54.0,38.0,8.94117603836,262.306441919
40.0,50.0,8.94318696002,366.240149364
27.0,53.0,8.94466311144,211.532678189
41.0,51.0,8.94563727659,213.637173005
35.0,56.0,8.95632849796,228.031826985
44.0,18.0,8.95767165752,270.598435351
28.0,47.0,8.96549253734,401.921962778
20.0,35.0,8.96553949648,126.75155027
28.0,52.0,8.96805903068,241.498648911
33.0,13.0,8.97234382629,343.529259289
27.0,49.0,8.97426681003,325.251330491
20.0,36.0,8.97595512077,208.347391923
19.0,37.0,8.97595512077,172.1348887
20.0,37.0,8.97595512077,203.458031333
21.0,37.0,8.97595512077,235.142857762
19.0,36.0,8.97595512077,183.291513351
21.0,21.0,8.97611885488,122.24773594
46.0,46.0,8.98009229846,232.902332935
26.0,15.0,8.98114354454,188.612285055
27.0,46.0,8.98412806685,419.053006235
19.0,29.0,8.98892515928,177.819518987
18.0,30.0,8.99507963313,110.629690231
41.0,50.0,8.99634318001,305.215907467
25.0,15.0,8.99974369717,107.29334181
27.0,18.0,9.00137292633,355.802793307
15.0,60.0,9.0052226703,121.773046293
16.0,59.0,9.0052226703,122.842634946
15.0,59.0,9.0052226703,122.379148924
14.0,63.0,9.0052226703,95.5430517147
13.0,63.0,9.0052226703,91.7716586667
14.0,59.0,9.0052226703,117.178665423
13.0,59.0,9.0052226703,110.456671311
17.0,62.0,9.0052226703,121.215149492
16.0,62.0,9.0052226703,120.179616851
13.0,62.0,9.0052226703,97.9431335838
15.0,62.0,9.0052226703,113.059868208
16.0,65.0,9.0052226703,109.497438915
14.0,62.0,9.0052226703,103.283565853
15.0,63.0,9.0052226703,104.23584134
11.0,60.0,9.0052226703,93.6371360363
12.0,60.0,9.0052226703,101.602836454
14.0,60.0,9.0052226703,115.780798968
13.0,60.0,9.0052226703,108.189027212
15.0,64.0,9.0052226703,100.261323003
14.0,66.0,9.0052226703,81.5091833822
15.0,66.0,9.0052226703,88.6339804014
14.0,61.0,9.0052226703,110.71143984
16.0,60.0,9.0052226703,123.183061684
16.0,64.0,9.0052226703,111.718662585
15.0,61.0,9.0052226703,118.651272463
16.0,61.0,9.0052226703,124.666863394
15.0,65.0,9.0052226703,95.4091876756
18.0,63.0,9.0052226703,114.749935049
17.0,63.0,9.0052226703,119.682608384
16.0,63.0,9.0052226703,114.871968241
17.0,64.0,9.0052226703,121.376861684
13.0,61.0,9.0052226703,104.38788774
14.0,64.0,9.0052226703,89.5556885908
28.0,13.0,9.01051563994,134.475290024
48.0,33.0,9.01229882855,192.450749925
48.0,44.0,9.0171273037,184.554740924
39.0,55.0,9.01744885316,327.155710878
28.0,48.0,9.01821556839,420.288576512
41.0,49.0,9.01834195144,316.760012304
45.0,23.0,9.02026768151,361.282421745
26.0,41.0,9.02032736206,436.956480583
46.0,18.0,9.02093177347,127.963073348
45.0,18.0,9.02413265258,214.83567208
27.0,52.0,9.02501147064,195.161844043
33.0,61.0,9.02640658718,203.125935151
34.0,61.0,9.02640658718,194.927390252
33.0,64.0,9.02640658718,163.139804574
32.0,61.0,9.02640658718,215.374331225
33.0,63.0,9.02640658718,183.154831332
32.0,63.0,9.02640658718,199.168615394
31.0,62.0,9.02640658718,222.988283478
32.0,62.0,9.02640658718,212.657053575
33.0,62.0,9.02640658718,200.294722418
34.0,62.0,9.02640658718,182.10651381
34.0,63.0,9.02640658718,161.853672067
31.0,63.0,9.02640658718,210.745991355
32.0,64.0,9.02640658718,177.635681345
22.0,35.0,9.02802886179,139.098074257
27.0,44.0,9.02947899887,412.25791852
49.0,33.0,9.03361114962,219.788045168
28.0,49.0,9.03627711491,435.721485704
28.0,51.0,9.03998154242,285.937099702
38.0,12.0,9.04212287102,224.565470133
25.0,41.0,9.0425393519,351.866914201
26.0,46.0,9.04361740459,377.312828407
25.0,36.0,9.04654871456,347.489714773
46.0,22.0,9.04684030903,277.748443803
27.0,48.0,9.05143473706,456.677977485
28.0,18.0,9.05227600345,391.09778145
41.0,47.0,9.05286694158,341.400638675
37.0,12.0,9.05549320606,250.41628287
45.0,24.0,9.05714454427,284.493692372
18.0,61.0,9.06036777885,91.2122566223
18.0,59.0,9.06036777885,88.8533603435
20.0,62.0,9.06036777885,84.6604231684
17.0,60.0,9.06036777885,95.0675021038
19.0,62.0,9.06036777885,86.0785554268
18.0,60.0,9.06036777885,90.8743168495
19.0,61.0,9.06036777885,85.600931107
19.0,60.0,9.06036777885,83.4975883271
18.0,62.0,9.06036777885,91.4861359655
17.0,61.0,9.06036777885,95.780713555
17.0,59.0,9.06036777885,94.5690631459
20.0,60.0,9.06036777885,85.0373913878
20.0,61.0,9.06036777885,86.3107254685
28.0,50.0,9.06374783924,402.219864939
44.0,22.0,9.06445717143,431.228165892
38.0,13.0,9.06798885351,268.244572613
35.0,57.0,9.07796092224,227.959028956
46.0,48.0,9.07893110677,244.410399427
22.0,22.0,9.08081332714,227.642455429
46.0,17.0,9.09088318663,136.361971423
40.0,49.0,9.09161217071,516.580840697
23.0,46.0,9.09302860421,113.520198035
17.0,33.0,9.09712113084,175.121726085
16.0,33.0,9.09712113084,168.282464366
15.0,33.0,9.09712113084,159.305347363
15.0,32.0,9.09712113084,157.243771471
16.0,32.0,9.09712113084,171.812312589
27.0,50.0,9.09759795775,256.639824905
39.0,12.0,9.09857196832,194.133397183
41.0,56.0,9.10267252777,175.704835795
40.0,56.0,9.10267252777,200.467751808
39.0,56.0,9.10267252777,207.096609241
41.0,55.0,9.10267252777,195.742860656
40.0,57.0,9.10267252777,171.204520678
41.0,57.0,9.10267252777,149.438638302
39.0,57.0,9.10267252777,184.452057052
40.0,55.0,9.10267252777,216.398748266
26.0,35.0,9.10654362159,352.898134846
25.0,45.0,9.10872495983,391.912006561
33.0,51.0,9.10980082069,311.495143999
28.0,46.0,9.11516318465,393.64509647
27.0,51.0,9.11681436034,255.402085981
42.0,20.0,9.12162566704,513.250778054
21.0,24.0,9.12167591299,163.232890872
27.0,17.0,9.12387791403,287.547172853
29.0,47.0,9.12507984122,299.81511667
41.0,21.0,9.12587315431,370.375980972
32.0,50.0,9.12966022444,372.607111054
25.0,34.0,9.12987490859,403.733325382
45.0,27.0,9.1299597882,326.87671413
32.0,51.0,9.13083560283,346.449632005
25.0,46.0,9.13274752608,296.512255794
42.0,19.0,9.13421004931,403.125615638
42.0,21.0,9.13429266958,439.135982828
23.0,56.0,9.13643221734,103.416486925
22.0,55.0,9.13643221734,101.538418118
25.0,55.0,9.13643221734,107.285780128
24.0,56.0,9.13643221734,100.783288207
22.0,56.0,9.13643221734,102.596029989
24.0,55.0,9.13643221734,101.393976882
23.0,55.0,9.13643221734,103.679885288
22.0,57.0,9.13643221734,97.4288473875
23.0,57.0,9.13643221734,97.360662251
42.0,46.0,9.13764680097,414.143425271
41.0,19.0,9.13812759417,382.580943302
42.0,52.0,9.13882402738,177.921325885
22.0,40.0,9.13902387948,152.010928711
29.0,14.0,9.14034389616,441.957201729
56.0,25.0,9.14128928767,75.5622015515
57.0,25.0,9.14128928767,78.6429820674
58.0,25.0,9.14128928767,74.6747070628
58.0,24.0,9.14128928767,74.508467763
57.0,23.0,9.14128928767,76.8148589768
57.0,24.0,9.14128928767,77.8437841723
58.0,22.0,9.14128928767,67.0682865091
56.0,24.0,9.14128928767,75.9023657909
55.0,24.0,9.14128928767,73.4772137915
56.0,23.0,9.14128928767,74.673131914
58.0,23.0,9.14128928767,72.8306966959
57.0,22.0,9.14128928767,71.0362627785
56.0,22.0,9.14128928767,69.0870637054
14.0,57.0,9.14282197249,84.9444911503
15.0,56.0,9.14282197249,84.6155511168
16.0,56.0,9.14282197249,93.9888191663
18.0,57.0,9.14282197249,81.9131558336
17.0,56.0,9.14282197249,94.3991818715
18.0,56.0,9.14282197249,85.0271932069
18.0,53.0,9.14282197249,82.6391922232
18.0,55.0,9.14282197249,85.5563497072
17.0,54.0,9.14282197249,84.6922560567
17.0,57.0,9.14282197249,93.0947035862
15.0,58.0,9.14282197249,80.2727517827
15.0,54.0,9.14282197249,80.6907035664
16.0,57.0,9.14282197249,82.3789900509
16.0,58.0,9.14282197249,80.1171175179
17.0,55.0,9.14282197249,88.4316364128
16.0,55.0,9.14282197249,88.5607089025
14.0,58.0,9.14282197249,80.8225529029
16.0,54.0,9.14282197249,82.8955053561
15.0,55.0,9.14282197249,83.9555847802
14.0,56.0,9.14282197249,85.0733964477
18.0,54.0,9.14282197249,82.7890837944
15.0,57.0,9.14282197249,77.8818140291
17.0,58.0,9.14282197249,84.7159973696
26.0,45.0,9.14374690793,491.984877726
46.0,25.0,9.1438074817,317.056442719
65.0,31.0,9.14422848179,27.8785848749
64.0,31.0,9.14422848179,41.7875421096
62.0,31.0,9.14422848179,65.3875208958
66.0,31.0,9.14422848179,28.1928479492
63.0,31.0,9.14422848179,50.9374969583
59.0,30.0,9.14422848179,101.618255225
58.0,33.0,9.14422848179,109.354422029
58.0,35.0,9.14422848179,97.4744584061
59.0,35.0,9.14422848179,82.9013829167
60.0,35.0,9.14422848179,71.2069215811
61.0,35.0,9.14422848179,59.3603145028
62.0,35.0,9.14422848179,53.3393769598
63.0,35.0,9.14422848179,45.2596731174
65.0,32.0,9.14422848179,30.3938956863
64.0,32.0,9.14422848179,28.9004944072
63.0,32.0,9.14422848179,50.7418578069
62.0,32.0,9.14422848179,62.7828108326
61.0,32.0,9.14422848179,75.7827529261
60.0,32.0,9.14422848179,86.3696401116
59.0,32.0,9.14422848179,99.61224643
58.0,32.0,9.14422848179,112.054690011
62.0,38.0,9.14422848179,36.1938983113
63.0,38.0,9.14422848179,34.7228642426
64.0,35.0,9.14422848179,36.6174603216
59.0,33.0,9.14422848179,91.8123124892
61.0,31.0,9.14422848179,79.8996882156
60.0,36.0,9.14422848179,66.0878981555
59.0,31.0,9.14422848179,102.502818372
60.0,37.0,9.14422848179,60.3816557213
60.0,31.0,9.14422848179,87.5970241049
63.0,34.0,9.14422848179,50.5383550472
62.0,34.0,9.14422848179,56.8796476413
61.0,34.0,9.14422848179,62.4037628763
60.0,34.0,9.14422848179,71.4838934068
59.0,34.0,9.14422848179,88.3492745033
61.0,37.0,9.14422848179,49.4536120371
58.0,34.0,9.14422848179,102.248074577
57.0,34.0,9.14422848179,123.267743103
59.0,29.0,9.14422848179,101.604569299
60.0,29.0,9.14422848179,88.1573177938
61.0,29.0,9.14422848179,76.7586058382
62.0,29.0,9.14422848179,68.2626265812
63.0,29.0,9.14422848179,57.1897266496
64.0,29.0,9.14422848179,49.1231433188
65.0,29.0,9.14422848179,45.76359065
66.0,29.0,9.14422848179,25.4453954183
67.0,29.0,9.14422848179,32.7649794548
66.0,30.0,9.14422848179,25.6756959168
65.0,30.0,9.14422848179,30.0584455228
64.0,30.0,9.14422848179,43.9285631435
63.0,30.0,9.14422848179,56.2659150508
62.0,37.0,9.14422848179,42.119138757
62.0,30.0,9.14422848179,68.4382877602
61.0,30.0,9.14422848179,75.1210963984
56.0,30.0,9.14422848179,138.142860018
57.0,30.0,9.14422848179,127.841904301
58.0,30.0,9.14422848179,112.711138928
59.0,37.0,9.14422848179,71.8391997611
62.0,28.0,9.14422848179,69.0139955132
64.0,34.0,9.14422848179,32.7434850123
60.0,33.0,9.14422848179,76.311453003
58.0,31.0,9.14422848179,114.265025041
57.0,31.0,9.14422848179,122.093455863
59.0,36.0,9.14422848179,76.6656807208
60.0,30.0,9.14422848179,87.3922571367
61.0,36.0,9.14422848179,54.7918016487
64.0,37.0,9.14422848179,30.0031567017
61.0,28.0,9.14422848179,77.9010385056
61.0,33.0,9.14422848179,67.790056198
62.0,36.0,9.14422848179,50.3479814978
63.0,36.0,9.14422848179,44.7416695194
64.0,36.0,9.14422848179,41.0452632999
62.0,33.0,9.14422848179,58.5811503831
60.0,28.0,9.14422848179,88.8484918483
63.0,37.0,9.14422848179,40.5536486028
