x,y,age,mass
33.0,49.0,7.60638446287,71.5361800755
33.0,50.0,7.72920726774,49.1819974497
32.0,51.0,7.78978113118,67.4175407188
32.0,50.0,7.82227880234,50.706635542
34.0,49.0,7.95093789654,73.2956348483
34.0,50.0,7.95546958908,165.726246433
29.0,20.0,8.04213309608,109.080581323
33.0,51.0,8.07579443603,152.70564655
33.0,48.0,8.12146278408,121.816014727
28.0,44.0,8.15493254373,97.2139199881
28.0,43.0,8.19270262422,94.0949717825
29.0,43.0,8.2312935272,107.297696057
30.0,20.0,8.23344497204,157.084451814
36.0,17.0,8.23402673724,103.567964975
36.0,18.0,8.23402673724,114.958331795
44.0,36.0,8.25184625959,87.4623765461
30.0,45.0,8.25999784191,121.327971215
45.0,27.0,8.30542338569,92.4971880249
46.0,27.0,8.30542338569,81.4312778563
47.0,27.0,8.30542338569,66.9302774429
48.0,27.0,8.30542338569,46.7613211127
49.0,27.0,8.30542338569,38.5764460783
50.0,27.0,8.30542338569,34.4944187958
51.0,27.0,8.30542338569,14.7794072122
50.0,28.0,8.30542338569,36.3937732982
44.0,27.0,8.30542338569,111.870058254
43.0,28.0,8.30542338569,140.640972017
44.0,28.0,8.30542338569,118.682282649
45.0,28.0,8.30542338569,103.075298215
46.0,28.0,8.30542338569,88.9468971842
47.0,28.0,8.30542338569,71.2851849049
48.0,28.0,8.30542338569,55.8561153896
49.0,28.0,8.30542338569,45.1503946264
46.0,31.0,8.30542338569,98.1965353968
51.0,28.0,8.30542338569,31.1708533076
52.0,27.0,8.30542338569,4.56097791868
47.0,22.0,8.30542338569,44.2014579015
50.0,26.0,8.30542338569,13.8987350066
51.0,26.0,8.30542338569,12.6305371522
49.0,24.0,8.30542338569,32.4073757134
50.0,24.0,8.30542338569,27.0307156106
46.0,24.0,8.30542338569,77.0574360699
50.0,23.0,8.30542338569,20.6855478844
49.0,23.0,8.30542338569,30.0848045537
48.0,23.0,8.30542338569,38.5149577494
46.0,25.0,8.30542338569,79.1455786891
47.0,25.0,8.30542338569,57.4590814864
48.0,25.0,8.30542338569,44.4753690307
48.0,22.0,8.30542338569,32.9893114772
49.0,25.0,8.30542338569,35.7691099188
51.0,25.0,8.30542338569,27.605136801
47.0,23.0,8.30542338569,50.8424674798
49.0,22.0,8.30542338569,24.9904167754
45.0,26.0,8.30542338569,93.2264231443
46.0,26.0,8.30542338569,77.2806270439
47.0,26.0,8.30542338569,57.5166432042
48.0,26.0,8.30542338569,44.7915855362
49.0,26.0,8.30542338569,32.2617996086
52.0,28.0,8.30542338569,25.3052701124
50.0,25.0,8.30542338569,25.5928686534
48.0,24.0,8.30542338569,42.0279286382
47.0,24.0,8.30542338569,55.0605565513
47.0,30.0,8.30542338569,85.4011931053
44.0,30.0,8.30542338569,139.858281832
48.0,31.0,8.30542338569,66.9525596747
53.0,30.0,8.30542338569,26.4920261522
48.0,21.0,8.30542338569,33.3264170392
53.0,29.0,8.30542338569,23.4439857333
52.0,29.0,8.30542338569,24.259246214
47.0,31.0,8.30542338569,86.6523417086
51.0,29.0,8.30542338569,30.2413674536
46.0,30.0,8.30542338569,99.4592409254
50.0,29.0,8.30542338569,38.9136030806
49.0,29.0,8.30542338569,48.2567169276
45.0,30.0,8.30542338569,116.063387385
47.0,29.0,8.30542338569,75.1801901883
52.0,30.0,8.30542338569,27.3104073457
51.0,30.0,8.30542338569,29.7791183104
48.0,29.0,8.30542338569,60.1520893919
49.0,30.0,8.30542338569,53.0053014432
50.0,30.0,8.30542338569,36.8500789411
44.0,29.0,8.30542338569,129.100687793
45.0,29.0,8.30542338569,108.007353204
46.0,29.0,8.30542338569,93.8162807173
48.0,30.0,8.30542338569,69.1163409974
41.0,31.0,8.31261729991,158.070917677
41.0,30.0,8.31261729991,157.619178494
32.0,48.0,8.31462718522,124.6091986
27.0,43.0,8.31464708415,98.5385567686
35.0,52.0,8.31587832467,64.8557369929
34.0,52.0,8.31587832467,68.1099940152
33.0,52.0,8.31587832467,71.7137936644
33.0,53.0,8.31587832467,64.6404333426
32.0,52.0,8.31587832467,71.4813714523
35.0,53.0,8.31587832467,61.5814457309
32.0,54.0,8.31587832467,59.9622396166
33.0,54.0,8.31587832467,64.8856226886
34.0,54.0,8.31587832467,60.1879837488
34.0,53.0,8.31587832467,61.6873893813
32.0,53.0,8.31587832467,63.9830437519
27.0,44.0,8.31640554037,91.7787032129
43.0,30.0,8.31952235397,78.1866043824
42.0,30.0,8.31952235397,93.7790762436
43.0,29.0,8.31952235397,73.8655042147
42.0,29.0,8.31952235397,88.9108862274
42.0,31.0,8.31952235397,97.3489977813
35.0,18.0,8.32506980343,147.500550951
33.0,47.0,8.33289014556,157.387906497
43.0,31.0,8.33623694513,87.9737897476
29.0,49.0,8.33953125104,111.550561051
37.0,18.0,8.34106385014,153.221387429
26.0,34.0,8.37356434359,120.03074087
30.0,16.0,8.37389775398,332.424300024
31.0,50.0,8.37720704906,109.147949622
29.0,19.0,8.38924338587,99.0690952693
30.0,17.0,8.3915953739,280.605044655
29.0,50.0,8.3917625485,64.1709801771
28.0,50.0,8.3917625485,54.2002190706
30.0,50.0,8.3917625485,68.2148183782
28.0,49.0,8.3917625485,57.8867908875
29.0,51.0,8.3917625485,54.2375334586
38.0,36.0,8.39972798723,161.472995102
37.0,17.0,8.39983880654,116.431190982
36.0,20.0,8.40440033713,77.902300003
47.0,40.0,8.40661777579,51.0325473371
29.0,44.0,8.42001735541,118.298276348
27.0,45.0,8.42315095256,158.83041387
32.0,47.0,8.42903285076,104.162990327
31.0,19.0,8.4349056666,250.34446151
41.0,32.0,8.43826347267,117.270812979
28.0,45.0,8.44877139223,155.968917157
36.0,19.0,8.457293594,147.396457152
31.0,18.0,8.46108376197,303.750903634
49.0,46.0,8.46240170126,50.8853786746
51.0,47.0,8.46240170126,39.0944748676
53.0,45.0,8.46240170126,20.9159640679
52.0,45.0,8.46240170126,25.4732841215
52.0,47.0,8.46240170126,32.7386599991
51.0,45.0,8.46240170126,35.6678282787
50.0,45.0,8.46240170126,42.1083401256
49.0,45.0,8.46240170126,50.1721638565
48.0,45.0,8.46240170126,58.5150798613
52.0,38.0,8.46240170126,15.4683162409
53.0,38.0,8.46240170126,14.0684060389
54.0,38.0,8.46240170126,13.7266555326
55.0,38.0,8.46240170126,13.4201529596
56.0,38.0,8.46240170126,14.8612274924
53.0,47.0,8.46240170126,26.781067246
48.0,39.0,8.46240170126,46.1056323867
49.0,39.0,8.46240170126,34.1231959156
50.0,39.0,8.46240170126,26.425657177
51.0,39.0,8.46240170126,19.2304124715
54.0,47.0,8.46240170126,19.6167248983
52.0,39.0,8.46240170126,14.9485168768
