x,y,age,mass
34.0,20.0,8.19142477604,468.916924162
34.0,19.0,8.25409959663,406.72746625
33.0,20.0,8.34370705827,887.462665799
40.0,22.0,8.35905582931,425.758070063
45.0,26.0,8.38380903724,335.136396336
40.0,21.0,8.39719180534,448.50605672
42.0,55.0,8.39890703959,43.9955737545
43.0,16.0,8.40560529353,155.901923394
45.0,30.0,8.41118596393,353.043765448
29.0,21.0,8.41123747631,489.971444098
56.0,30.0,8.42119911286,44.9520429932
56.0,32.0,8.42119911286,50.1237441668
56.0,31.0,8.42119911286,49.5330047698
58.0,31.0,8.42119911286,40.090387679
57.0,32.0,8.42119911286,45.2560184327
58.0,30.0,8.42119911286,38.2636959602
57.0,31.0,8.42119911286,44.2958636085
57.0,30.0,8.42119911286,40.8740076126
35.0,20.0,8.4325936093,777.789509765
45.0,29.0,8.45025394206,351.45904684
30.0,15.0,8.45589433177,203.750166709
35.0,19.0,8.45596800522,712.852915288
51.0,29.0,8.45867216703,93.3637748052
46.0,17.0,8.45979866319,147.124276047
27.0,17.0,8.46264989859,268.424529277
46.0,16.0,8.46640493846,122.980429042
46.0,26.0,8.46697191581,325.793988768
29.0,56.0,8.46789066707,73.6553920043
49.0,37.0,8.47822476442,131.413306254
27.0,48.0,8.48371950421,200.874273324
43.0,17.0,8.4857549105,192.183623479
51.0,37.0,8.4876914807,80.0990581469
33.0,21.0,8.48900169588,1008.07085954
45.0,25.0,8.48989294063,316.033078391
46.0,18.0,8.49237480749,156.142224946
40.0,23.0,8.50162437814,687.192511479
52.0,33.0,8.50329566632,75.6900352779
30.0,16.0,8.50967930538,362.539297304
39.0,11.0,8.50969530286,147.877832081
37.0,14.0,8.51160342536,375.176697656
41.0,20.0,8.51664105328,450.134844438
52.0,38.0,8.51754971197,63.0552394462
51.0,38.0,8.51754971197,77.6675113126
52.0,37.0,8.51754971197,65.0551499692
29.0,20.0,8.52344143385,489.020383074
36.0,18.0,8.52383804931,409.861477208
48.0,43.0,8.53945451186,92.4954570482
48.0,25.0,8.5424577967,231.903186577
36.0,16.0,8.54351913905,193.523501351
30.0,14.0,8.54455529993,149.026984411
24.0,25.0,8.54661916213,300.360244603
31.0,14.0,8.54945480541,161.48240215
29.0,57.0,8.54993109197,66.9483804894
38.0,13.0,8.55167545713,269.536423403
37.0,51.0,8.55303230698,188.197820844
31.0,15.0,8.55342593962,226.986451374
34.0,21.0,8.55454563011,958.314500155
31.0,13.0,8.55596060007,146.633820157
39.0,10.0,8.55671073148,111.781470707
36.0,17.0,8.55793109106,287.47994246
27.0,18.0,8.55850177875,287.387395231
43.0,55.0,8.55894920201,41.8653978723
47.0,26.0,8.55942025527,257.734853496
38.0,22.0,8.55944444416,548.238731162
27.0,45.0,8.5654547378,698.63386916
28.0,17.0,8.56581184614,299.67902851
51.0,34.0,8.56711676778,127.022850044
31.0,16.0,8.56929737891,317.650150009
52.0,34.0,8.57280293895,83.4742547705
49.0,32.0,8.57405360499,183.893542158
39.0,22.0,8.57789608561,863.298277868
38.0,21.0,8.57857100321,668.437782155
26.0,17.0,8.57921680304,237.415321525
41.0,19.0,8.57996376036,483.017158431
50.0,38.0,8.5818770851,202.280613169
23.0,26.0,8.58274401714,197.430499733
36.0,19.0,8.58632343425,633.939970432
