x,y,age,mass
32.0,54.0,7.62374651439,54.6227324437
32.0,53.0,7.74068160182,81.3469969521
33.0,54.0,7.83104743402,53.5955805987
34.0,52.0,7.85260732261,37.6120383706
34.0,53.0,7.85260732261,46.1673370775
33.0,53.0,7.85260732261,50.4029873374
33.0,52.0,7.85260732261,40.0266135801
31.0,53.0,7.86564894037,55.2702923662
32.0,52.0,7.87616492901,29.2292561972
64.0,8.0,7.9651017492,9.86371350784
59.0,11.0,7.9651017492,14.3678993733
62.0,8.0,7.9651017492,13.1506394121
60.0,14.0,7.9651017492,18.9603551704
59.0,14.0,7.9651017492,17.0219717725
57.0,13.0,7.9651017492,17.9801703114
58.0,13.0,7.9651017492,16.7355345961
59.0,13.0,7.9651017492,16.3093385697
60.0,13.0,7.9651017492,18.0657605264
61.0,13.0,7.9651017492,19.5844152189
62.0,13.0,7.9651017492,19.8447709625
63.0,13.0,7.9651017492,19.2195451676
61.0,9.0,7.9651017492,14.5888329595
62.0,9.0,7.9651017492,13.8727432329
63.0,9.0,7.9651017492,11.7990571791
64.0,9.0,7.9651017492,11.9090605666
60.0,11.0,7.9651017492,14.984514931
61.0,11.0,7.9651017492,14.7289496765
62.0,11.0,7.9651017492,15.5613515358
63.0,11.0,7.9651017492,15.289789412
64.0,11.0,7.9651017492,14.0363216677
65.0,11.0,7.9651017492,11.2410043061
65.0,10.0,7.9651017492,12.0792906132
64.0,10.0,7.9651017492,13.0946728703
63.0,10.0,7.9651017492,12.8348935712
62.0,10.0,7.9651017492,14.1203668401
61.0,10.0,7.9651017492,14.9309409552
60.0,10.0,7.9651017492,15.3550883537
58.0,12.0,7.9651017492,15.8129213231
59.0,12.0,7.9651017492,16.2318635783
60.0,12.0,7.9651017492,15.976867268
61.0,12.0,7.9651017492,15.8109509117
62.0,12.0,7.9651017492,17.236120886
63.0,12.0,7.9651017492,17.3196174719
64.0,12.0,7.9651017492,16.0181441194
65.0,12.0,7.9651017492,13.205911649
66.0,12.0,7.9651017492,10.128081862
64.0,13.0,7.9651017492,18.4844799183
65.0,13.0,7.9651017492,15.415745739
63.0,8.0,7.9651017492,10.7589435265
67.0,13.0,7.9651017492,9.40221186598
60.0,16.0,7.9651017492,21.6905760958
57.0,14.0,7.9651017492,20.1435041919
