#arquivo gal_num
parametros_hu K0849
parametros_hu K0850
parametros_hu K0851
parametros_hu K0852
parametros_hu K0854
parametros_hu K0855
parametros_hu K0856
parametros_hu K0857
parametros_hu K0858
parametros_hu K0859
parametros_hu K0860
parametros_hu K0861
parametros_hu K0862
parametros_hu K0863
parametros_hu K0864
parametros_hu K0865
parametros_hu K0866
parametros_hu K0867
parametros_hu K0868
parametros_hu K0869
parametros_hu K0870
parametros_hu K0871
parametros_hu K0872
parametros_hu K0874
parametros_hu K0875
parametros_hu K0876
parametros_hu K0878
parametros_hu K0880
parametros_hu K0881
parametros_hu K0883
parametros_hu K0884
parametros_hu K0885
parametros_hu K0886
parametros_hu K0887
parametros_hu K0888
parametros_hu K0889
parametros_hu K0890
parametros_hu K0891
parametros_hu K0893
parametros_hu K0894
parametros_hu K0895
parametros_hu K0896
parametros_hu K0897
parametros_hu K0898
parametros_hu K0900
parametros_hu K0901
parametros_hu K0902
parametros_hu K0903
parametros_hu K0904
parametros_hu K0905
parametros_hu K0906
parametros_hu K0907
parametros_hu K0909
parametros_hu K0910
parametros_hu K0911
parametros_hu K0912
parametros_hu K0914
parametros_hu K0915
parametros_hu K0916
parametros_hu K0917
parametros_hu K0919
parametros_hu K0923
parametros_hu K0924
parametros_hu K0925
parametros_hu K0926
parametros_hu K0927
parametros_hu K0929
parametros_hu K0930
parametros_hu K0932
parametros_hu K0933
parametros_hu K0934
parametros_hu K0935
parametros_hu K0936
parametros_hu K0937
parametros_hu K1000
parametros_hu K1005
parametros_hu K1007
parametros_hu K1009
parametros_hu K1010
parametros_hu K1011
parametros_hu K1013
parametros_hu K1015
parametros_hu K1016
parametros_hu K1022
parametros_hu K1024
parametros_hu K1075
parametros_hu K1076
parametros_hu K1080
parametros_hu K2014
parametros_hu K2044
parametros_hu K2052
parametros_hu K2063
parametros_hu K2707
parametros_hu K2752
parametros_hu K2780
parametros_hu K2781
parametros_hu K2795
parametros_hu K2835
parametros_hu K2851
parametros_hu K2871
parametros_hu K2873
parametros_hu K2902
parametros_hu K2999
parametros_hu K3004
parametros_hu K3006
parametros_hu K3008
parametros_hu K3018
parametros_hu K3019
parametros_hu K3021
parametros_hu K3022
parametros_hu K3027
parametros_hu K3028
parametros_hu K3030
parametros_hu K3034
parametros_hu K3038
parametros_hu K3039
parametros_hu K3040
parametros_hu K4027
parametros_hu K4031
parametros_hu K4034
