x,y,age,mass
39.0,33.0,9.4335736788,2527.87363129
46.0,43.0,9.53498354236,378.691408325
47.0,43.0,9.56766196154,344.054381238
41.0,51.0,9.57226934676,324.098514366
44.0,36.0,9.60533842068,640.277551426
51.0,30.0,9.60675133752,264.793128056
35.0,52.0,9.61975270433,309.875323727
34.0,20.0,9.64450548008,662.040072271
49.0,33.0,9.65396153851,323.847478778
40.0,51.0,9.65512624472,322.989122342
42.0,17.0,9.6564495476,474.746461053
26.0,46.0,9.65673760246,334.541379569
42.0,28.0,9.65935052284,1322.49644486
42.0,39.0,9.66062351326,718.635955064
53.0,30.0,9.66110035435,310.005345073
52.0,31.0,9.66110035435,332.787202386
52.0,30.0,9.66110035435,349.099850378
53.0,31.0,9.66110035435,293.471558147
53.0,29.0,9.66110035435,319.13011469
52.0,29.0,9.66110035435,360.463329225
29.0,42.0,9.66183228581,506.155018295
29.0,48.0,9.6628770293,353.579216939
36.0,55.0,9.66768433427,308.128986535
34.0,33.0,9.66861117344,4270.62773835
34.0,34.0,9.67185947078,3734.69858497
23.0,38.0,9.67323688373,461.976546145
44.0,42.0,9.67477542625,468.249368251
42.0,45.0,9.67632676558,480.207133339
41.0,14.0,9.67641795242,577.65999753
41.0,13.0,9.67641795242,527.066272497
24.0,45.0,9.67747281043,300.858929254
28.0,43.0,9.67769837386,451.262226442
42.0,30.0,9.67809815852,1759.14287267
42.0,42.0,9.68291666425,689.673316597
34.0,35.0,9.68546309894,3033.27525343
33.0,33.0,9.68672515128,3019.7180774
23.0,33.0,9.68907171951,323.344814293
42.0,41.0,9.6949842591,689.845521676
29.0,43.0,9.69625021953,513.611939183
31.0,42.0,9.70060629256,664.326225505
31.0,32.0,9.70283864949,1998.65561619
29.0,49.0,9.70319329455,332.281006871
32.0,36.0,9.70760537334,1692.04377746
36.0,23.0,9.70806052302,1033.03697322
33.0,28.0,9.71288565776,1759.15235415
24.0,50.0,9.71304172303,275.189186448
23.0,49.0,9.71304172303,283.754763617
24.0,49.0,9.71304172303,299.022371764
23.0,48.0,9.71304172303,289.07199463
24.0,48.0,9.71304172303,315.738187658
25.0,49.0,9.71304172303,307.433616159
25.0,48.0,9.71304172303,335.551645943
28.0,36.0,9.7150910749,705.886672359
42.0,33.0,9.71803313019,1426.03210085
32.0,42.0,9.71873968752,804.811381626
43.0,47.0,9.71960998928,507.810443164
26.0,48.0,9.72026298773,374.682409189
31.0,36.0,9.72051900414,1384.77100369
41.0,46.0,9.721786174,576.830724085
31.0,41.0,9.72197512657,810.070516439
28.0,35.0,9.72266962838,742.513896297
49.0,38.0,9.72368506968,397.416186332
48.0,39.0,9.72368506968,417.534363604
48.0,38.0,9.72368506968,432.731034618
47.0,39.0,9.72368506968,464.596152408
38.0,52.0,9.724798068,367.040386892
42.0,36.0,9.72499112484,1443.96264326
47.0,20.0,9.72737362053,662.694697394
31.0,31.0,9.72750491195,1680.59063041
27.0,45.0,9.72818074779,511.934850713
28.0,40.0,9.7326323939,619.379871013
46.0,42.0,9.73459355168,512.062681982
28.0,48.0,9.73467773847,364.717503334
30.0,32.0,9.73484080211,1262.90839337
37.0,21.0,9.73486204579,766.305196665
42.0,35.0,9.73647396362,1561.53825611
33.0,52.0,9.73684697952,398.338398589
42.0,43.0,9.73706935868,675.593526934
44.0,30.0,9.73783319991,969.030706992
40.0,21.0,9.73812746537,819.690036797
43.0,17.0,9.74120652699,488.879077409
24.0,33.0,9.74126404052,409.247740325
25.0,45.0,9.74266099748,457.340797214
47.0,41.0,9.74291380149,402.550160611
48.0,41.0,9.74291380149,360.879318653
47.0,40.0,9.74291380149,423.290818374
49.0,41.0,9.74291380149,317.718217126
48.0,40.0,9.74291380149,382.916356113
49.0,40.0,9.74291380149,339.389532017
28.0,44.0,9.74376939857,518.037728175
32.0,37.0,9.74412599485,1572.7849644
27.0,46.0,9.74512269867,431.503796721
36.0,22.0,9.74523897754,863.740532934
39.0,39.0,9.74533453931,1297.34123796
28.0,34.0,9.74538442332,878.120359704
36.0,54.0,9.74561580005,311.785483602
29.0,50.0,9.74643347222,369.852697237
29.0,44.0,9.74701056557,563.231332663
31.0,18.0,9.74776495119,488.354118289
37.0,42.0,9.7480918363,923.280366035
26.0,28.0,9.74969086621,480.134432868
32.0,43.0,9.7497128546,726.750000899
