obj,#Populacao,Rm/re,std,tm,tm_std,tp,tp_std,M_t,M_p,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Exc,flong,Sim,Conc
K0017,1,0.767142718045,0.177879704966,9.59397540931,0.199274204547,9.36078433659,0.0297200723158,457550.204294,28946.1292732,0.789247138626,0.0200340676987,0.0338312827037,0.564520679801,-0.0175609246597,0.0304739856157,-0.0147963158261,32.8306797967,27.3869099597,30.1087948782,0.741041300452,0.165813497336,0.98423539213,0.6597582038,0.197272118575
K0017,2,0.63588050248,0.181031699431,9.59397540931,0.199274204547,9.473062041,0.0556225611691,457550.204294,52163.9002489,0.556283390158,0.0520876747859,0.0505253365239,0.244938270228,0.000461755480827,0.0158125962645,4.61060872039e-05,30.1407251747,19.490741842,24.8157335083,-0.627550396782,0.353341974056,0.879786602995,0.946459412781,0.261492138796
K0017,3,0.688533875883,0.283490745511,9.59397540931,0.199274204547,9.69167475242,0.0563782634139,457550.204294,93616.8970258,0.707958753969,0.269047509169,0.231283448234,0.0162651253194,-0.0020386117943,-0.00900315481105,-0.000759725859106,37.6239521598,14.7786003408,26.2012762503,-0.517481496832,0.607202340732,1.48163389506,0.94280762565,0.429617918365
K0017,4,0.640428215575,0.334783356239,9.59397540931,0.199274204547,9.85089895575,0.0841500486643,457550.204294,282754.174901,0.665587097856,0.121013715054,0.0529480084317,0.776032905467,0.0373784163672,0.106857803546,0.0116156251816,34.2280104758,19.1645680648,26.6962892703,-0.571929887711,0.440091089186,1.24595098302,0.439446366782,0.597367064159
K0018,1,0.548004246323,0.189285936759,9.54065938129,0.136613325031,9.36486923494,0.0327525440481,806593.994519,143108.327283,0.427806682854,0.0336034026083,0.0131600459007,0.0384837332334,4.75912538531e-05,0.00342246842118,-0.000456299452842,33.7147048739,21.3250916875,27.5198982807,0.154476622281,0.367483957896,0.648265051509,0.602150537634,0.319415130029
K0018,2,0.719017776119,0.268928205241,9.54065938129,0.136613325031,9.49715475214,0.0250625195248,806593.994519,157532.76276,0.750814851206,0.235202076008,0.159546140069,0.0621586246806,0.00502604105167,0.0122988442395,0.00214474233432,47.917638531,22.2244888511,35.0710636911,0.19269598305,0.536193987593,1.99549525357,0.768568353068,0.407952552547
K0018,3,0.704441125896,0.221393294801,9.54065938129,0.136613325031,9.58986137934,0.0294368206525,806593.994519,166176.813333,0.694708594377,0.135639240722,0.0127052885011,0.0485015300263,0.000140864079138,-0.00399697071835,-1.64643987383e-05,44.4415989639,24.6268434486,34.5342212062,-0.581838947646,0.445860544563,0.808088197009,0.880516684607,0.268947430331
K0018,4,0.715803304197,0.240592896124,9.54065938129,0.136613325031,9.71094138386,0.0886035388564,806593.994519,339776.091143,0.72656107879,0.136718425383,0.0180554581076,0.105412537325,-0.00109355620245,0.0236166488255,0.00203139540834,45.1326315831,25.7477481573,35.4401898702,-0.524948619962,0.429509265155,1.29550162337,0.454251883746,0.267816708694
K0035,1,0.679051602843,0.188066653554,9.59940497702,0.143612169693,9.4198682703,0.0769609748982,874579.819478,93766.1090059,0.632012235649,0.0501387843801,0.0549172215771,0.151606826156,-0.00343582044532,-0.01351773169,0.000779757844955,37.2141554271,25.6962688033,31.4552121152,0.342201243819,0.309502835456,0.754478245442,0.457354758962,0.234192315804
K0035,2,0.696778107267,0.229038978259,9.59940497702,0.143612169693,9.55366890979,0.0158003443035,874579.819478,107833.558269,0.684791460715,0.0139456529073,0.0440149472576,0.485404714196,0.00789879352013,0.0149950616651,0.00403816745111,36.0425439811,30.2806900556,33.1616170183,0.42057647536,0.159862575977,1.12239601035,0.70457354759,0.321963572077
