kgal, galname[kgal], Mass_tot[kgal], HLR_elip[kgal], HMR_elip[kgal]
117 K0152 10.1700115466 3760.27925529 2525.63361065
118 K0153 10.9675877694 6254.69588207 4508.38615526
119 K0156 11.1372003839 4050.49075967 3294.90848668
120 K0157 10.5391376474 4575.7151143 3018.69761639
121 K0159 10.3338072719 5874.14215788 4837.70631088
122 K0161 9.66283532178 2443.72482305 2342.21172704
123 K0162 10.7345356323 1308.77848014 1142.03139869
124 K0164 11.0646999721 6333.63780787 4497.35075887
125 K0165 11.0918399061 5837.65265687 3921.54162682
126 K0166 9.86299167689 4655.93329044 2787.74299854
127 K0167 10.7918439741 2605.17040274 2090.84975036
128 K0168 11.2304707132 3635.61085884 2664.84239922
129 K0169 11.1427415125 3677.99830017 2805.04364235
130 K0170 11.2812226342 3819.01907682 2908.58860694
131 K0171 11.2849076579 4140.11206836 3523.13077696
132 K0172 9.13573128771 2659.82897597 2414.65933978
133 K0173 10.9646068344 2543.05751438 2282.56385539
134 K0174 10.8072872511 3742.89607872 3094.75080964
135 K0175 10.0344026309 3731.31654716 2681.81346824
136 K0177 11.320614492 2731.80115208 2433.18882851
137 K0179 10.4463911624 5583.61496526 3976.1107128
138 K0181 10.6868290521 4694.85391803 3527.74494503
139 K0182 9.14512804087 2911.37906323 2617.19221077
140 K0183 10.7387495645 5534.49987786 4280.79606521
141 K0185 10.517062826 2854.90420562 2285.46445425
142 K0186 10.7695258362 4069.5237106 2691.76522478
143 K0187 10.4104075858 4999.07452092 3845.84843157
144 K0188 10.8583562167 2556.04752677 2338.90882342
145 K0189 11.300832501 3477.04222775 2412.56422616
146 K0190 10.9088302981 5790.96762807 3755.34221233
147 K0192 10.7528961839 2557.06338189 2125.26486092
148 K0194 11.2277863654 4734.07867892 3969.36796791
149 K0195 10.4886015467 1270.22401273 983.866712043
150 K0196 10.2269722151 2709.5982394 2445.10260821
151 K0197 10.7333459566 2736.7444841 1838.91527342
152 K0201 10.484662244 1054.71636541 779.423177825
153 K0203 10.8443373214 6569.9120456 4269.11766399
154 K0204 10.8716216921 5859.00052666 3641.73060599
155 K0205 10.3753050048 4757.94768108 3244.07966257
156 K0209 9.70106143326 2838.2225487 2265.6922329
157 K0210 11.1452137878 5750.83009675 5536.1125618
158 K0216 10.7688392966 2387.59767089 1927.52430332
159 K0219 11.0801739959 2713.39614527 2324.89662533
160 K0221 10.3576606125 721.584528376 608.394258233
161 K0231 8.74324648096 2193.70337987 1942.34674166
162 K0232 10.3022636162 5436.066991 4422.78673733
163 K0260 9.8674427277 2393.80013237 1915.5561928
164 K0272 10.5109992201 1145.43994959 923.483659643
165 K0273 10.5695905001 5919.30657409 4415.39690952
166 K0274 10.018102879 1908.47744356 1633.41010842
167 K0275 10.587941876 2644.17785172 2036.81153098
168 K0277 10.8052020159 4880.02209404 4121.22430711
169 K0278 11.2198003363 4623.50619058 3242.56254489
170 K0279 11.2437050565 4274.95495114 3124.19279064
171 K0280 11.1794532358 5453.20658982 4178.91459228
172 K0281 11.1280664584 3247.04198159 2828.49518828
173 K0297 9.54662702469 2812.93299626 2276.77633183
174 K0306 9.49633249479 3456.63283164 2860.37043844
175 K0307 10.9302801556 8345.35135048 5554.01389388
176 K0309 10.5798578084 6041.13656296 4918.9923351
177 K0310 8.83246853204 2085.0238388 1747.86307863
178 K0311 11.360680605 5042.8310477 4745.45963755
179 K0312 9.22111926439 2280.41414055 1974.28397906
180 K0314 10.9862149718 4284.9859085 3437.18380135
181 K0318 11.7042580911 5396.11586332 5436.90653176
182 K0326 10.506699738 4730.4736421 3297.85778736
183 K0339 10.7473920421 2675.98260788 2212.42932275
184 K0341 11.3806570469 4506.56220776 3288.85505475
185 K0353 9.76854686659 2285.02991312 1920.22412613
186 K0355 9.72820398677 1932.14119886 1443.09359374
187 K0364 11.2840228265 4859.85051604 4448.33449156
188 K0381 11.2098713417 4710.29965228 3599.9300905
189 K0383 9.88791257514 3913.47411681 3641.60669077
190 K0386 11.0472286453 4259.85575008 3289.6682743
191 K0387 11.4427512983 3993.56680456 3240.77825255
192 K0388 10.2710543226 3421.78711805 2887.51347742
193 K0391 10.511278986 1279.32251782 855.355662149
194 K0414 10.4196650955 2592.52044973 1857.97387308
195 K0436 10.6029989327 3696.82937146 2162.39603611
196 K0437 10.8468858165 3887.52730839 4017.22429977
197 K0475 10.0906658172 4232.51583271 6132.34754082
198 K0476 10.6741150429 1952.24365116 1211.82046612
199 K0479 11.2453334843 5074.00397485 3880.44579865
200 K0486 9.73889084721 2704.03508441 1912.36354276
201 K0500 10.6641385904 6866.03704374 4917.46860634
202 K0502 10.5617236231 3326.95177723 2203.46268595
203 K0515 10.8646419801 5605.96941565 5109.98525192
204 K0518 10.4913895363 3698.5834448 3048.94563488
205 K0528 9.41389872228 3563.55312978 3035.61887608
206 K0548 10.182218721 2600.12962997 2325.11055496
207 K0562 11.2207248499 4350.90188661 3346.58058002
208 K0569 10.7119063761 3447.91780582 2866.17778148
209 K0580 10.8838216368 4587.56437501 8073.83051295
210 K0581 10.3138947156 7571.83648202 5764.26141958
211 K0588 11.3159913651 6469.64049613 5920.81807374
212 K0589 11.3546079273 4847.44235716 4021.45820606
213 K0592 11.505852518 7146.82898722 6685.40482005
214 K0602 11.1319613418 2863.6488615 2319.22971278
215 K0603 9.87323052103 2333.11493323 1903.92168857
216 K0606 9.37649826998 3290.699785 2793.38741925
217 K0607 11.3123685756 3659.27889112 3415.66210766
218 K0608 10.9671428484 5967.26887493 4283.20193949
219 K0609 10.1081881231 5695.83331081 4695.59646343
220 K0610 11.0369719478 5809.2996522 4702.32433909
221 K0611 10.3864471571 2538.51665894 1833.09327311
222 K0612 11.6370101 7094.18025948 6185.48209911
223 K0613 11.3145996681 4509.33768432 3520.39012954
224 K0615 10.5195459234 2253.81440008 1783.36896445
225 K0624 11.269042913 7433.91427746 5723.23269842
226 K0630 9.98289893515 1795.87481423 1405.82631266
227 K0633 10.5630131577 2265.04987461 1754.66861703
228 K0634 10.8261976578 3328.62485997 2309.71874469
229 K0651 11.2070308854 5264.50797353 4107.97854132
230 K0652 8.8926900879 2457.85544376 2306.41019145
231 K0653 10.5597475868 1675.36965228 1079.46071261
232 K0657 9.51821260923 3229.00694171 2783.29704869
233 K0659 10.4316989429 3591.82796432 2621.56199575
234 K0663 11.3877944255 6551.35151136 5263.41409584
235 K0664 10.3154143034 2725.04422008 2214.42302982
236 K0665 11.2651216539 6985.57398488 5003.81775578
237 K0672 10.534240616 2530.48952383 2125.18979489
238 K0673 9.97573077076 1933.55636926 1715.51164138
239 K0676 10.6110881864 3299.20140394 2702.6253738
240 K0679 10.0538170908 2843.70097451 2522.78272255
241 K0684 11.1694118566 5909.86229789 4965.75029148
242 K0697 9.50211623734 2258.21147435 1980.28390799
243 K0703 10.8606002838 1569.21755025 1208.49457268
244 K0705 10.3079656884 1538.25226356 1330.49583083
245 K0707 10.1299505403 2479.01325636 2324.15793036
246 K0708 10.7579105035 1871.74732763 1498.79995072
247 K0711 9.2905848567 2131.19799133 1916.27652381
248 K0713 9.43562404568 2448.88970256 1921.84776979
249 K0714 11.0036713954 6758.38441477 4250.41425496
250 K0715 10.0581407924 1491.82622321 763.122552261
251 K0740 11.336266052 3153.04412718 2468.25733211
252 K0744 10.698058697 1475.31194071 1299.75267771
253 K0748 10.4302701954 2154.26010476 1812.73789646
254 K0749 9.87099069212 3743.99202515 3472.86996525
255 K0754 10.6314042483 2983.2807737 1918.1315551
256 K0758 9.49570619964 2454.21793456 2437.72649196
257 K0764 11.2188285728 7117.25783155 5469.88478929
258 K0768 10.179914297 3259.03949514 2265.1685888
259 K0769 10.3780460895 4203.10897227 3587.05836757
260 K0774 11.2890194735 6370.16435398 4425.91445225
261 K0775 10.527378649 5927.91831098 4605.5215549
262 K0778 11.2989715857 3670.87355052 2532.84531869
263 K0779 10.7198820069 5923.11118406 4648.09414254
264 K0780 10.8366327734 2662.6895543 2176.46465656
265 K0781 11.4615176446 7324.14679078 5954.03159935
266 K0782 11.2293369944 4433.09630409 3135.24245724
267 K0783 10.1471131882 2369.59267233 1506.46895451
268 K0787 10.9002278669 2094.22264041 1618.56600152
269 K0788 9.83530412363 2879.62092421 1943.56749777
270 K0789 11.5368825041 9061.34639234 7368.07638372
271 K0790 10.6431103555 2956.53446513 1726.54433715
272 K0791 11.2493897668 4127.47829534 3208.44024681
273 K0794 11.0882885288 3360.6199346 2995.733469
274 K0797 10.2399669991 5346.39054608 3857.81302198
275 K0798 10.391483988 6257.78003661 4893.09115803
276 K0799 9.94705403404 3080.91134083 2784.30719348
277 K0803 10.256742481 2593.24331478 2143.12638192
278 K0804 10.3341201014 2226.52604052 1474.76556554
279 K0805 9.73027660174 4012.00491747 3420.47989726
280 K0806 11.0858140852 3639.21536189 2972.42312686
281 K0807 11.061619761 5084.51862474 3629.81692666
282 K0808 11.0120409844 2712.65879163 2164.26805736
283 K0809 11.0088401574 2823.20142447 2393.37230118
284 K0810 10.984149045 4519.35828776 2957.15291139
285 K0811 9.9420251926 2125.61249962 1413.49462682
286 K0813 10.8650721959 4929.1702034 4346.58533231
287 K0814 11.4425351631 3484.67829123 2363.9891705
288 K0815 11.0397878582 2755.27007527 2375.95825486
289 K0816 11.1227539091 2607.56240438 1724.48257014
290 K0817 9.87432441721 2759.09058237 2203.44028735
291 K0818 10.6811523622 3264.23349617 2234.3771537
292 K0820 10.5762355398 5975.05707468 4855.02786997
293 K0821 11.051579153 5864.63931693 4495.87280978
294 K0822 11.2523004344 5516.91893006 3226.33875928
295 K0823 10.2649067682 3681.41961258 2913.4745514
296 K0824 10.878112286 5016.00609871 3924.86835163
297 K0826 11.1716763487 3321.65328757 2249.40996892
298 K0827 9.51676250296 2766.75786436 2439.64056398
299 K0828 10.1469940341 4458.34187272 3354.0191629
300 K0829 11.3880822436 3247.75256498 2758.50182546
301 K0830 11.2594465706 8191.28769809 5517.17413032
302 K0831 10.4459165753 3977.87100943 2371.22012472
303 K0832 11.6934429173 5678.79941896 4394.55900759
304 K0833 11.1701475342 6354.88193771 4244.05874334
305 K0834 11.199258814 6959.300773 5458.05749218
306 K0835 11.4787861217 5796.9556225 4960.48482573
307 K0836 10.2855128036 2572.95081097 2165.12891653
308 K0837 10.6185858245 4313.73621085 2265.44036286
309 K0838 10.7315181509 2851.04327148 2151.94232486
310 K0840 11.874202725 7082.47657809 6269.25992296
311 K0841 9.87281735604 3406.28471381 2658.81470669
312 K0842 10.8057061444 3138.15497899 2263.84329839
313 K0843 9.53089478085 4217.6038641 3482.93396928
314 K0844 10.9014118346 1856.53272752 1496.65858537
315 K0845 11.5209080355 6602.33180222 6021.46238256
316 K0846 11.3731949718 6721.72481413 5135.4361138
317 K0847 11.2735724034 9534.04509544 8626.19437039
318 K0848 10.7614765367 4019.53588481 3502.24703374
319 K0849 11.1948265446 11284.5350596 9166.01605467
320 K0850 11.2341638246 4803.89723929 3994.49479607
321 K0851 11.7645157216 7449.76356673 6892.02929989
322 K0852 9.64270097475 3451.9162904 3683.65439719
323 K0854 11.2419953042 7656.70333456 5998.12282067
324 K0855 8.60244083164 5779.03156773 6040.13590448
325 K0856 10.743144972 5028.41200416 3819.36137717
326 K0857 11.1622139958 6858.3128284 5546.98430427
327 K0858 11.5162214602 5492.16907116 4190.82426271
328 K0859 11.0305921601 3351.45980476 3077.29069901
329 K0860 10.9616471256 1656.62391229 1376.10388054
330 K0861 10.657112465 4958.33433792 3881.26582176
331 K0862 11.3208300977 7503.60333757 5282.32607614
332 K0863 11.1422345402 5210.99730688 4180.41722238
333 K0864 11.36831893 5187.58199095 4635.27783791
334 K0865 11.198817742 3976.36505938 3014.04072435
335 K0866 10.3685894805 6430.92908579 7492.24176027
336 K0867 10.4501324567 1642.05347182 1438.64238194
337 K0868 10.9617278065 6225.13703105 4134.71931691
338 K0869 11.252272889 7111.84359575 5664.31381024
339 K0870 9.65385083088 2678.63030849 2186.62468367
340 K0871 11.1238113806 5537.50500502 4141.1277021
341 K0872 10.7107753986 3921.48764855 2962.87384039
342 K0874 11.4722873012 3649.46166856 3239.4794427
343 K0875 11.4240052962 1706.10911785 3231.20600747
344 K0876 10.9980681107 6493.35676291 5379.06102296
345 K0878 9.26604965479 3198.67764807 3156.56323248
346 K0880 10.6581338771 4605.45341426 3501.48892871
347 K0881 11.5812017241 4787.20316626 3801.31654648
348 K0883 11.4837872624 8620.44276969 7449.1492408
349 K0884 10.0713030978 4908.78149364 3894.09917787
350 K0885 9.30434661587 1589.59768217 1206.0199165
351 K0886 11.3651828274 3513.4006371 2705.95870224
352 K0887 11.3171240668 6607.57415597 4560.4322119
353 K0888 11.5952071694 6961.77538279 6660.11556196
354 K0889 11.0502238304 3388.74442444 2405.12182305
355 K0890 10.9923524203 4703.84787457 3431.06025132
356 K0891 10.3502684763 4927.5985176 4123.35573507
357 K0893 11.816150817 6700.47759151 7227.94112814
358 K0894 11.3198191054 5917.22380479 4247.12521573
359 K0895 9.3114942055 2539.68949655 1988.01982008
360 K0896 11.0244266157 6404.39484234 4008.95294914
361 K0897 11.0691403273 7923.79384893 3922.26784198
362 K0898 10.901660035 7381.95086159 4570.78407957
363 K0900 11.4075626475 4174.2719686 3280.22761929
364 K0901 10.8663345533 4396.12580936 3219.9587218
365 K0902 11.2055595354 2697.97612784 2323.90865239
366 K0903 11.4153290995 3030.02421276 2866.79634597
367 K0904 11.138841814 4114.69901253 2740.34128485
368 K0905 9.95869211655 6343.61776133 6206.54567534
369 K0906 10.54850401 3981.08577037 2344.08200667
370 K0907 10.3204013456 3953.53879311 3357.24020148
371 K0909 10.4972870265 5285.88102267 3700.05982015
372 K0910 10.6404737733 3381.84770999 2697.95021011
373 K0911 11.4660497437 3160.41789997 2685.29693165
374 K0912 10.9518134998 2162.33800668 1740.83738465
375 K0914 10.7941460038 4049.84499512 3092.44082811
376 K0915 10.7860101119 3708.7553917 2307.26262335
377 K0916 11.0202223702 2089.25806425 1562.31758585
378 K0917 11.2140864504 2563.63841552 2095.33686773
379 K0919 11.1522988788 3685.44475127 2618.13885389
380 K0923 11.0438101625 2598.34587135 1783.44153058
381 K0924 10.6478751665 2354.33904687 1437.4598846
382 K0925 11.2588956279 3557.50805463 2881.54893912
383 K0926 10.0369929028 5788.62809132 5674.76372857
384 K0927 11.365885038 6450.74843853 2843.71265062
385 K0929 10.956194517 8847.08559278 5912.45245579
386 K0930 10.0893459833 4484.07968304 3078.00188258
387 K0932 11.479110213 5321.25594918 4552.00609043
388 K0933 10.9604397676 4779.55217471 2428.33616891
389 K0934 9.93181586956 2457.79378834 1972.7643553
390 K0935 10.2612653294 5852.63653912 4688.19167477
391 K0936 10.9935957193 5335.01515654 4394.90084783
392 K0937 9.57085116917 2421.60436019 2548.63443282
393 K1000 9.2521307058 1576.81964749 1583.35470319
394 K1005 11.4430417262 7361.67921542 7576.04527448
395 K1007 9.17779177233 863.41063781 1118.04710801
396 K1009 9.21752517821 1518.00612368 1328.51247665
397 K1010 8.93086667054 1457.71099379 1188.17219661
398 K1011 9.25701116446 2338.32066616 2105.46582082
399 K1013 9.4152655903 736.87132656 830.476719818
400 K1015 9.06535509363 1416.34773529 1112.50620991
401 K1016 8.90356839948 1200.63885016 1026.7306013
402 K1022 9.50900573729 1472.75555337 1595.17911984
403 K1024 9.88862252518 2385.37490474 2323.53812431
404 K1075 8.85283573352 1602.545171 1768.53674088
405 K1076 9.17514138224 1395.47504999 1179.58321732
406 K1080 9.32559819767 3026.34691247 2698.21110521
407 K2014 10.2638751092 1888.56403066 2017.46744723
408 K2044 10.8027540218 2760.70098191 2451.60679564
409 K2052 10.0633232092 3986.35044151 3106.08010488
410 K2063 10.6219574619 11203.0280578 4359.12807138
411 K2707 10.4899267189 1543.69276298 1323.08611969
412 K2752 9.86403572267 3032.72500838 2447.43283872
413 K2780 10.7416092364 1950.44634019 1568.97542442
414 K2781 10.9537716134 8647.85582616 5536.10672063
415 K2795 10.4456594432 1756.15895811 1138.83218895
416 K2835 11.0335336035 4398.01896294 3455.62903894
417 K2851 11.3422094173 9283.65784524 8223.20253641
418 K2871 11.1590857949 5400.1947981 3978.60757617
419 K2873 10.809645293 2153.03139183 2140.44980255
420 K2902 10.8573813798 3619.57989441 3300.50127423
421 K2999 11.0269007255 3708.16258166 2853.59172335
422 K3004 10.7862502516 2676.30514459 2230.66256191
423 K3006 10.7279710045 3443.14987654 2749.40321587
424 K3008 9.89862794706 1442.99003061 1190.81805182
425 K3018 10.6201549416 2513.39812318 2184.24701196
426 K3019 10.4756120734 1469.43059832 1211.65606111
427 K3021 9.92278480725 1854.71191653 1619.24199525
428 K3022 9.02599613439 1297.4158945 1046.80108305
429 K3027 8.99176290345 1086.40562814 1260.51711375
430 K3028 10.0171486529 1903.42496661 2294.55677587
431 K3030 9.99530903436 1205.71287758 1069.1442381
432 K3034 10.0529330753 2327.34832203 2006.72295391
433 K3038 9.82669985405 950.745877438 815.864823907
434 K3039 10.5095249405 1749.14890449 1514.79970058
435 K3040 10.5415022102 2218.66903598 1583.61889997
436 K4027 9.70589768671 3095.87816109 2488.82674239
437 K4031 11.2200692254 8287.68466165 4631.53552541
438 K4034 10.8159861497 5295.2797184 3092.66184179
