index,at-flux,gal_num,ned_name,u-r,re,type_m
382,at_flux__yx,K0925,UGC06256,4.64,11.088000297,1
384,at_flux__yx,K0927,UGC06273,2.68,7.9200000762,2
385,at_flux__yx,K0929,UGC06312,2.66,9.8999996185,3
387,at_flux__yx,K0932,NGC3614,2.52,28.51199913,1
388,at_flux__yx,K0933,NGC3610,2.37,10.295999527,1
389,at_flux__yx,K0934,UGC06332,2.65,9.50399971,3
391,at_flux__yx,K0936,UGC06336,2.62,5.5440001487,1
394,at_flux__yx,K1005,UGC06355,1.46,13.463999748,2
402,at_flux__yx,K1022,NGC3650,2.68,9.8999996185,2
408,at_flux__yx,K2044,UGC06433,1.28,14.255999565,1
410,at_flux__yx,K2063,UGC06455,2.46,14.255999565,1
414,at_flux__yx,K2781,NGC3697,2.25,17.027999877,2
415,at_flux__yx,K2795,NGC3683A,2.72,20.988000869,2
416,at_flux__yx,K2835,NGC3712,1.38,23.36400032,2
418,at_flux__yx,K2871,UGC06526,1.66,5.1479997634,2
425,at_flux__yx,K3018,NGC3753,4.0,13.859999656,1
427,at_flux__yx,K3021,NGC3780,2.98,29.700000762,3
433,at_flux__yx,K3038,NGC3812,2.8,9.8999996185,3
437,at_flux__yx,K4031,UGC06653,2.27,5.9400000572,3
438,at_flux__yx,K4034,NGC3816,2.69,13.859999656,3
