index,at-flux,gal_num,ned_name,u-r,re,type_m
11,at_flux__yx,K0017,UGC00148,1.76,13.463999748,-1
12,at_flux__yx,K0018,MCG-02-02-030,2.4,13.067999839,-1
25,at_flux__yx,K0035,NGC0192,2.65,13.067999839,-1
34,at_flux__yx,K0044,NGC0364,2.99,9.50399971,-1
36,at_flux__yx,K0046,IC1652,2.45,6.3359999656,0
37,at_flux__yx,K0047,NGC0447,2.71,20.591999054,0
39,at_flux__yx,K0050,UGC00809,2.08,11.880000114,0
40,at_flux__yx,K0051,UGC00841,2.15,9.8999996185,-1
44,at_flux__yx,K0055,NGC0496,2.32,13.859999656,0
47,at_flux__yx,K0059,NGC0523,2.73,8.3159999847,0
49,at_flux__yx,K0064,NGC0528,2.88,7.9200000762,-1
52,at_flux__yx,K0067,UGC01057,1.98,8.3159999847,-1
53,at_flux__yx,K0068,NGC0570,2.64,13.463999748,-1
57,at_flux__yx,K0072,IC0159,1.71,12.671999931,0
59,at_flux__yx,K0076,UGCA021,1.88,28.115999221,-1
62,at_flux__yx,K0080,NGC0677,2.79,13.859999656,0
67,at_flux__yx,K0087,NGC0741,2.93,21.780000686,0
70,at_flux__yx,K0090,NGC0768,2.09,11.484000206,-1
72,at_flux__yx,K0092,NGC0776,2.67,17.027999877,-1
73,at_flux__yx,K0093,NGC0781,2.39,5.5440001487,0
76,at_flux__yx,K0096,NGC0825,2.55,7.9200000762,0
78,at_flux__yx,K0098,IC0210,3.1,15.444000244,-1
79,at_flux__yx,K0099,NGC0842,2.6,8.7119998931,0
81,at_flux__yx,K0101,KUG0210-078,2.29,13.067999839,-1
83,at_flux__yx,K0103,NGC0873,1.74,13.859999656,0
91,at_flux__yx,K0119,NGC0962,2.81,11.484000206,0
97,at_flux__yx,K0127,NGC1026,2.78,14.255999565,-1
98,at_flux__yx,K0128,NGC1041,2.58,12.671999931,-1
102,at_flux__yx,K0134,UGC02222,2.68,6.7319998741,0
104,at_flux__yx,K0136,UGC02239,2.25,9.1079998016,-1
106,at_flux__yx,K0138,NGC1094,2.01,9.1079998016,0
107,at_flux__yx,K0139,NGC1093,2.49,11.088000297,0
123,at_flux__yx,K0162,UGC02628,2.24,9.8999996185,0
130,at_flux__yx,K0170,NGC1542,2.54,11.880000114,0
131,at_flux__yx,K0171,UGC03038,2.52,9.1079998016,-1
145,at_flux__yx,K0189,UGC03253,2.38,12.276000022,0
149,at_flux__yx,K0195,UGC03899,1.21,6.7319998741,-1
151,at_flux__yx,K0197,UGC03944,1.86,13.067999839,-1
152,at_flux__yx,K0201,UGC03969,2.34,8.3159999847,-1
160,at_flux__yx,K0221,NGC2480,1.96,21.780000686,0
164,at_flux__yx,K0272,UGC04132,2.39,14.255999565,-1
170,at_flux__yx,K0279,NGC2513,3.09,17.423999786,-1
181,at_flux__yx,K0318,UGC04258,1.81,12.276000022,-1
183,at_flux__yx,K0339,NGC2543,2.66,23.760000228,0
184,at_flux__yx,K0341,UGC04280,2.33,7.5240001678,-1
191,at_flux__yx,K0387,NGC2565,2.26,7.5240001678,-1
193,at_flux__yx,K0391,NGC2572,2.47,7.5240001678,0
199,at_flux__yx,K0479,UGC04405,2.61,7.5240001678,0
207,at_flux__yx,K0562,UGC04461,1.79,11.880000114,0
211,at_flux__yx,K0588,NGC2620,2.83,14.255999565,-1
212,at_flux__yx,K0589,NGC2623,2.26,9.50399971,-1
213,at_flux__yx,K0592,UGC04515,2.97,12.276000022,-1
214,at_flux__yx,K0602,UGC04532,1.75,8.7119998931,-1
217,at_flux__yx,K0607,UGC04550,2.11,16.236000061,0
222,at_flux__yx,K0612,IC2393,2.69,11.484000206,-1
223,at_flux__yx,K0613,UGC04587,2.56,11.880000114,0
227,at_flux__yx,K0633,NGC2693,2.75,13.859999656,-1
243,at_flux__yx,K0703,UGC04845,1.94,16.631999969,0
244,at_flux__yx,K0705,UGC04851,2.61,7.1279997825,0
246,at_flux__yx,K0708,UGC04869,3.27,11.088000297,-1
252,at_flux__yx,K0744,NGC2800,2.79,15.444000244,0
262,at_flux__yx,K0778,UGC04982,1.94,10.295999527,0
264,at_flux__yx,K0780,NGC2860,2.26,7.1279997825,-1
265,at_flux__yx,K0781,NGC2872,2.86,12.671999931,-1
266,at_flux__yx,K0782,NGC2874,2.34,16.631999969,-1
268,at_flux__yx,K0787,NGC2882,2.28,15.048000335,0
273,at_flux__yx,K0794,IC0540,2.59,9.50399971,-1
280,at_flux__yx,K0806,UGC05113,2.71,5.5440001487,-1
287,at_flux__yx,K0814,NGC2954,2.57,10.692000389,-1
288,at_flux__yx,K0815,UGC05164,2.28,7.9200000762,-1
289,at_flux__yx,K0816,UGC05157,1.97,11.088000297,-1
294,at_flux__yx,K0822,UGC05215,2.3,14.255999565,0
297,at_flux__yx,K0826,UGC05267,2.91,12.276000022,0
300,at_flux__yx,K0829,UGC05320,1.96,15.444000244,-1
303,at_flux__yx,K0832,NGC3060,2.57,11.484000206,-1
306,at_flux__yx,K0835,UGC05359,2.23,10.295999527,-1
310,at_flux__yx,K0840,NGC3106,2.96,19.00799942,-1
314,at_flux__yx,K0844,UGC05499,2.87,16.236000061,0
315,at_flux__yx,K0845,IC0598,2.29,6.3359999656,-1
